x,y,t
0.438377,0.149081,0.018600
0.438038,0.149845,0.018700
0.437698,0.150608,0.018800
0.437355,0.151371,0.018900
0.437011,0.152133,0.019000
0.436666,0.152895,0.019100
0.436318,0.153656,0.019200
0.435969,0.154416,0.019300
0.435618,0.155176,0.019400
0.435265,0.155935,0.019500
0.434910,0.156693,0.019600
0.434554,0.157451,0.019700
0.434195,0.158208,0.019800
0.433836,0.158964,0.019900
0.433474,0.159720,0.020000
0.433110,0.160475,0.020100
0.432745,0.161230,0.020200
0.432378,0.161984,0.020300
0.432009,0.162737,0.020400
0.431638,0.163489,0.020500
0.431266,0.164241,0.020600
0.430892,0.164992,0.020700
0.430516,0.165743,0.020800
0.430138,0.166493,0.020900
0.429759,0.167242,0.021000
0.429377,0.167990,0.021100
0.428994,0.168738,0.021200
0.428610,0.169485,0.021300
0.428223,0.170231,0.021400
0.427835,0.170977,0.021500
0.427445,0.171722,0.021600
0.427053,0.172466,0.021700
0.426659,0.173209,0.021800
0.426264,0.173952,0.021900
0.425867,0.174694,0.022000
0.425468,0.175436,0.022100
0.425067,0.176176,0.022200
0.424665,0.176916,0.022300
0.424261,0.177655,0.022400
0.423855,0.178394,0.022500
0.423447,0.179132,0.022600
0.423038,0.179868,0.022700
0.422627,0.180605,0.022800
0.422214,0.181340,0.022900
0.421799,0.182075,0.023000
0.421382,0.182809,0.023100
0.420964,0.183542,0.023200
0.420544,0.184274,0.023300
0.420123,0.185006,0.023400
0.419699,0.185737,0.023500
0.419274,0.186467,0.023600
0.418847,0.187196,0.023700
0.418418,0.187925,0.023800
0.417988,0.188653,0.023900
0.417555,0.189380,0.024000
0.417121,0.190106,0.024100
0.416686,0.190831,0.024200
0.416248,0.191556,0.024300
0.415809,0.192279,0.024400
0.415368,0.193002,0.024500
0.414925,0.193724,0.024600
0.414481,0.194446,0.024700
0.414035,0.195166,0.024800
0.413587,0.195886,0.024900
0.413137,0.196605,0.025000
0.412686,0.197323,0.025100
0.412233,0.198040,0.025200
0.411778,0.198757,0.025300
0.411321,0.199472,0.025400
0.410863,0.200187,0.025500
0.410403,0.200901,0.025600
0.409941,0.201614,0.025700
0.409477,0.202326,0.025800
0.409012,0.203037,0.025900
0.408545,0.203748,0.026000
0.408076,0.204457,0.026100
0.407606,0.205166,0.026200
0.407134,0.205874,0.026300
0.406660,0.206581,0.026400
0.406184,0.207287,0.026500
0.405707,0.207992,0.026600
0.405227,0.208696,0.026700
0.404747,0.209400,0.026800
0.404264,0.210102,0.026900
0.403780,0.210804,0.027000
0.403294,0.211505,0.027100
0.402806,0.212204,0.027200
0.402316,0.212903,0.027300
0.401825,0.213601,0.027400
0.401332,0.214298,0.027500
0.400838,0.214995,0.027600
0.400341,0.215690,0.027700
0.399843,0.216384,0.027800
0.399343,0.217078,0.027900
0.398842,0.217770,0.028000
0.398339,0.218462,0.028100
0.397834,0.219152,0.028200
0.397327,0.219842,0.028300
0.396819,0.220531,0.028400
0.396309,0.221218,0.028500
0.395797,0.221905,0.028600
0.395283,0.222591,0.028700
0.394768,0.223276,0.028800
0.394251,0.223960,0.028900
0.393733,0.224643,0.029000
0.393212,0.225325,0.029100
0.392690,0.226006,0.029200
0.392167,0.226686,0.029300
0.391641,0.227365,0.029400
0.391114,0.228043,0.029500
0.390585,0.228720,0.029600
0.390055,0.229396,0.029700
0.389522,0.230071,0.029800
0.388988,0.230745,0.029900
0.388453,0.231418,0.030000
0.387915,0.232090,0.030100
0.387376,0.232761,0.030200
0.386836,0.233431,0.030300
0.386293,0.234100,0.030400
0.385749,0.234768,0.030500
0.385203,0.235435,0.030600
0.384656,0.236101,0.030700
0.384107,0.236766,0.030800
0.383556,0.237429,0.030900
0.383003,0.238092,0.031000
0.382449,0.238754,0.031100
0.381893,0.239415,0.031200
0.381336,0.240074,0.031300
0.380776,0.240733,0.031400
0.380215,0.241390,0.031500
0.379653,0.242047,0.031600
0.379089,0.242702,0.031700
0.378523,0.243356,0.031800
0.377955,0.244010,0.031900
0.377386,0.244662,0.032000
0.376815,0.245313,0.032100
0.376242,0.245963,0.032200
0.375667,0.246612,0.032300
0.375091,0.247259,0.032400
0.374514,0.247906,0.032500
0.373934,0.248552,0.032600
0.373353,0.249196,0.032700
0.372771,0.249839,0.032800
0.372186,0.250482,0.032900
0.371600,0.251123,0.033000
0.371013,0.251763,0.033100
0.370423,0.252402,0.033200
0.369832,0.253039,0.033300
0.369240,0.253676,0.033400
0.368645,0.254311,0.033500
0.368049,0.254946,0.033600
0.367452,0.255579,0.033700
0.366852,0.256211,0.033800
0.366251,0.256842,0.033900
0.365649,0.257471,0.034000
0.365045,0.258100,0.034100
0.364439,0.258727,0.034200
0.363831,0.259353,0.034300
0.363222,0.259978,0.034400
0.362611,0.260602,0.034500
0.361999,0.261225,0.034600
0.361385,0.261846,0.034700
0.360769,0.262467,0.034800
0.360151,0.263086,0.034900
0.359532,0.263704,0.035000
0.358912,0.264320,0.035100
0.358289,0.264936,0.035200
0.357665,0.265550,0.035300
0.357040,0.266163,0.035400
0.356413,0.266775,0.035500
0.355784,0.267386,0.035600
0.355153,0.267995,0.035700
0.354521,0.268603,0.035800
0.353887,0.269210,0.035900
0.353252,0.269816,0.036000
0.352615,0.270421,0.036100
