x,y,t
-0.142734,0.592247,1.839999
-0.149880,0.594613,1.849999
-0.157027,0.596980,1.859999
-0.164174,0.599347,1.869999
-0.171321,0.601713,1.879999
-0.178467,0.604080,1.889999
-0.185614,0.606447,1.899999
-0.192761,0.608813,1.909999
-0.199908,0.611180,1.919999
-0.207055,0.613547,1.929999
-0.214201,0.615913,1.939999
-0.221348,0.618280,1.949998
-0.228495,0.620647,1.959998
-0.235642,0.623013,1.969998
-0.242789,0.625380,1.979998
-0.249935,0.627747,1.989998
-0.257082,0.630113,1.999998
-0.264229,0.632480,2.009999
-0.271376,0.634847,2.019999
-0.278523,0.637213,2.029999
-0.285669,0.639580,2.039999
-0.292816,0.641947,2.049999
-0.299963,0.644313,2.059999
-0.307110,0.646680,2.069999
-0.314257,0.649047,2.079998
-0.321403,0.651413,2.089998
-0.328550,0.653780,2.099998
-0.335697,0.656147,2.109998
-0.342844,0.658513,2.119998
-0.349991,0.660880,2.129998
-0.357137,0.663247,2.139998
-0.364284,0.665613,2.149998
-0.371431,0.667980,2.159998
-0.378578,0.670347,2.169998
-0.385725,0.672713,2.179998
-0.392871,0.675080,2.189998
-0.400018,0.677447,2.199998
-0.407165,0.679813,2.209998
-0.414312,0.682180,2.219998
-0.421459,0.684547,2.229998
-0.428606,0.686913,2.239998
-0.435752,0.689280,2.249998
-0.442899,0.691647,2.259998
-0.450046,0.694013,2.269998
-0.457193,0.696380,2.279998
-0.464340,0.698747,2.289998
-0.471486,0.701113,2.299998
-0.478633,0.703480,2.309998
-0.485780,0.705847,2.319998
-0.492927,0.708213,2.329998
-0.500074,0.710580,2.339998
-0.507220,0.712947,2.349998
-0.514367,0.715313,2.359998
-0.521514,0.717680,2.369998
-0.528661,0.720047,2.379998
-0.535807,0.722413,2.389998
-0.542954,0.724780,2.399998
-0.550101,0.727147,2.409998
-0.557248,0.729513,2.419998
-0.564395,0.731880,2.429998
-0.571541,0.734247,2.439998
-0.578688,0.736613,2.449998
-0.585835,0.738980,2.459998
-0.592982,0.741347,2.469998
-0.600128,0.743713,2.479998
-0.607275,0.746080,2.489998
-0.614422,0.748447,2.499998
-0.621569,0.750813,2.509998
-0.628716,0.753180,2.519998
-0.635862,0.755547,2.529998
-0.643009,0.757913,2.539998
-0.649808,0.759813,2.549998
-0.648582,0.752386,2.559998
-0.647356,0.744958,2.569998
-0.646129,0.737530,2.579998
-0.644903,0.730102,2.589998
-0.643676,0.722674,2.599998
-0.642450,0.715246,2.609998
-0.641223,0.707818,2.619998
-0.639997,0.700391,2.629998
-0.638771,0.692963,2.639998
-0.637544,0.685535,2.649998
-0.636318,0.678107,2.659998
-0.635091,0.670679,2.669998
-0.633865,0.663251,2.679998
-0.632638,0.655823,2.689998
-0.631412,0.648395,2.699998
-0.630186,0.640968,2.709998
-0.628959,0.633540,2.719998
-0.627733,0.626112,2.729998
-0.626506,0.618684,2.739998
-0.625280,0.611256,2.749998
-0.624053,0.603828,2.759998
-0.622827,0.596400,2.769998
-0.621601,0.588972,2.779998
-0.620374,0.581545,2.789998
-0.619148,0.574117,2.799998
-0.617921,0.566689,2.809998
-0.616695,0.559261,2.819998
-0.615469,0.551833,2.829998
-0.614242,0.544405,2.839998
-0.613016,0.536977,2.849998
-0.611789,0.529549,2.859998
-0.610563,0.522122,2.869998
-0.609336,0.514694,2.879998
