x,y,t
0.673855,0.609740,1.809999
0.668078,0.604912,1.819999
0.662301,0.600084,1.829999
0.656525,0.595257,1.839999
0.650748,0.590429,1.849999
0.644971,0.585601,1.859999
0.639194,0.580773,1.869999
0.633418,0.575946,1.879999
0.627641,0.571118,1.889999
0.621864,0.566290,1.899999
0.616087,0.561462,1.909999
0.610311,0.556635,1.919999
0.604534,0.551807,1.929999
0.598757,0.546979,1.939999
0.592980,0.542152,1.949998
0.587204,0.537324,1.959998
0.581427,0.532496,1.969998
0.575650,0.527668,1.979998
0.569873,0.522841,1.989998
0.564096,0.518013,1.999998
0.558320,0.513185,2.009999
0.552543,0.508357,2.019999
0.546766,0.503530,2.029999
0.540989,0.498702,2.039999
0.535213,0.493874,2.049999
0.529436,0.489046,2.059999
0.523659,0.484219,2.069999
0.517882,0.479391,2.079998
0.512106,0.474563,2.089998
0.506329,0.469735,2.099998
0.500552,0.464908,2.109998
0.494775,0.460080,2.119998
0.488999,0.455252,2.129998
0.483222,0.450424,2.139998
0.477445,0.445597,2.149998
0.471668,0.440769,2.159998
0.465892,0.435941,2.169998
0.460115,0.431114,2.179998
0.454338,0.426286,2.189998
0.448561,0.421458,2.199998
0.442785,0.416630,2.209998
0.437008,0.411803,2.219998
0.431231,0.406975,2.229998
0.425455,0.402147,2.239998
0.419678,0.397319,2.249998
0.413901,0.392492,2.259998
0.408124,0.387664,2.269998
0.402348,0.382836,2.279998
0.396571,0.378008,2.289998
0.390794,0.373181,2.299998
0.385017,0.368353,2.309998
0.379241,0.363525,2.319998
0.373464,0.358697,2.329998
0.367687,0.353870,2.339998
0.361910,0.349042,2.349998
0.356134,0.344214,2.359998
0.350357,0.339387,2.369998
0.344580,0.334559,2.379998
0.338804,0.329731,2.389998
0.333027,0.324903,2.399998
0.327250,0.320076,2.409998
0.321473,0.315248,2.419998
0.315697,0.310420,2.429998
0.309920,0.305592,2.439998
0.304143,0.300765,2.449998
0.298366,0.295937,2.459998
0.292590,0.291109,2.469998
0.286813,0.286281,2.479998
0.281036,0.281454,2.489998
0.275259,0.276626,2.499998
0.269483,0.271798,2.509998
0.263706,0.266970,2.519998
0.257929,0.262143,2.529998
0.252153,0.257315,2.539998
0.246376,0.252487,2.549998
0.240599,0.247660,2.559998
0.234822,0.242832,2.569998
0.229046,0.238004,2.579998
0.223269,0.233176,2.589998
0.217492,0.228349,2.599998
0.211715,0.223521,2.609998
0.205939,0.218693,2.619998
0.200162,0.213865,2.629998
0.194385,0.209038,2.639998
0.188608,0.204210,2.649998
0.182832,0.199382,2.659998
0.177055,0.194554,2.669998
0.171278,0.189727,2.679998
0.165502,0.184899,2.689998
0.159725,0.180071,2.699998
0.153948,0.175243,2.709998
0.148171,0.170416,2.719998
0.142395,0.165588,2.729998
0.136618,0.160760,2.739998
0.130841,0.155932,2.749998
0.125064,0.151105,2.759998
0.119288,0.146277,2.769998
0.113511,0.141449,2.779998
0.107734,0.136622,2.789998
0.101957,0.131794,2.799998
0.096181,0.126966,2.809998
0.090404,0.122138,2.819998
0.084627,0.117311,2.829998
0.078850,0.112483,2.839998
0.073074,0.107655,2.849998
0.067297,0.102827,2.859998
0.061520,0.098000,2.869998
0.055744,0.093172,2.879998
0.049967,0.088344,2.889998
0.044190,0.083516,2.899998
0.038413,0.078689,2.909998
0.032637,0.073861,2.919998
0.026860,0.069033,2.929998
0.021083,0.064205,2.939998
0.015306,0.059378,2.949998
0.009530,0.054550,2.959998
0.003753,0.049722,2.969998
-0.002024,0.044895,2.979998
-0.007801,0.040067,2.989998
-0.013577,0.035239,2.999998
-0.019354,0.030411,3.009998
-0.025131,0.025584,3.019998
-0.030908,0.020756,3.029998
-0.036684,0.015928,3.039998
-0.042461,0.011100,3.049998
-0.048238,0.006273,3.059998
-0.054014,0.001445,3.069998
-0.059791,-0.003383,3.079998
-0.065568,-0.008211,3.089998
-0.071345,-0.013038,3.099998
-0.077121,-0.017866,3.109998
-0.082898,-0.022694,3.119998
-0.088675,-0.027522,3.129997
-0.094452,-0.032349,3.139997
-0.100228,-0.037177,3.149997
-0.106005,-0.042005,3.159997
-0.111782,-0.046833,3.169997
-0.117559,-0.051660,3.179997
-0.123335,-0.056488,3.189997
-0.129112,-0.061316,3.199997
-0.134889,-0.066144,3.209997
-0.140666,-0.070971,3.219997
-0.146442,-0.075799,3.229997
-0.152219,-0.080627,3.239997
-0.157996,-0.085455,3.249997
-0.163772,-0.090282,3.259997
-0.169549,-0.095110,3.269997
-0.175326,-0.099938,3.279997
-0.181103,-0.104765,3.289997
-0.186879,-0.109593,3.299997
-0.192656,-0.114421,3.309997
-0.198433,-0.119249,3.319997
-0.204210,-0.124076,3.329997
-0.209986,-0.128904,3.339997
-0.215763,-0.133732,3.349997
-0.221540,-0.138560,3.359997
-0.227317,-0.143387,3.369997
-0.233093,-0.148215,3.379997
-0.238870,-0.153043,3.389997
-0.244647,-0.157871,3.399997
-0.250423,-0.162698,3.409997
-0.256200,-0.167526,3.419997
-0.261977,-0.172354,3.429997
-0.267754,-0.177182,3.439997
-0.273530,-0.182009,3.449997
-0.279307,-0.186837,3.459997
-0.285084,-0.191665,3.469997
-0.290861,-0.196492,3.479997
-0.296637,-0.201320,3.489997
-0.302414,-0.206148,3.499997
-0.308191,-0.210976,3.509997
-0.313968,-0.215803,3.519997
-0.319744,-0.220631,3.529997
-0.325521,-0.225459,3.539997
-0.331298,-0.230287,3.549997
-0.337074,-0.235114,3.559997
-0.342851,-0.239942,3.569997
-0.348628,-0.244770,3.579997
-0.354405,-0.249598,3.589997
-0.360181,-0.254425,3.599997
-0.365958,-0.259253,3.609997
-0.371735,-0.264081,3.619997
-0.377512,-0.268909,3.629997
-0.383288,-0.273736,3.639997
-0.389065,-0.278564,3.649997
-0.394842,-0.283392,3.659997
-0.400619,-0.288220,3.669997
-0.406395,-0.293047,3.679997
-0.412172,-0.297875,3.689997
-0.417949,-0.302703,3.699997
-0.423725,-0.307530,3.709997
-0.429502,-0.312358,3.719997
-0.435279,-0.317186,3.729997
-0.441056,-0.322014,3.739997
-0.446832,-0.326841,3.749997
-0.452609,-0.331669,3.759997
-0.458386,-0.336497,3.769997
-0.464163,-0.341325,3.779997
-0.469939,-0.346152,3.789997
-0.475716,-0.350980,3.799997
-0.481493,-0.355808,3.809997
-0.487270,-0.360636,3.819997
-0.493046,-0.365463,3.829997
-0.498823,-0.370291,3.839997
-0.504600,-0.375119,3.849997
-0.510377,-0.379947,3.859997
-0.516153,-0.384774,3.869997
-0.521930,-0.389602,3.879997
-0.527707,-0.394430,3.889997
-0.533484,-0.399257,3.899997
-0.539260,-0.404085,3.909997
-0.545037,-0.408913,3.919997
-0.550814,-0.413741,3.929997
-0.556591,-0.418568,3.939997
-0.562367,-0.423396,3.949997
-0.568144,-0.428224,3.959997
-0.573921,-0.433052,3.969997
-0.579698,-0.437879,3.979997
-0.585474,-0.442707,3.989997
-0.591251,-0.447535,3.999997
-0.597028,-0.452363,4.009997
-0.602805,-0.457190,4.019997
-0.608581,-0.462018,4.029997
-0.614358,-0.466846,4.039998
-0.620135,-0.471674,4.049998
-0.625912,-0.476501,4.059998
-0.631689,-0.481329,4.069998
-0.637465,-0.486157,4.079998
-0.643242,-0.490984,4.089999
-0.649019,-0.495812,4.099999
-0.654796,-0.500640,4.109999
-0.660572,-0.505468,4.119999
-0.666349,-0.510295,4.130000
-0.672126,-0.515123,4.140000
-0.677903,-0.519951,4.150000
-0.683679,-0.524779,4.160000
-0.689456,-0.529606,4.170001
-0.695233,-0.534434,4.180001
-0.701010,-0.539262,4.190001
-0.706786,-0.544090,4.200001
-0.712563,-0.548917,4.210001
-0.718340,-0.553745,4.220002
-0.724117,-0.558573,4.230002
-0.729894,-0.563401,4.240002
-0.735670,-0.568228,4.250002
-0.741447,-0.573056,4.260003
-0.747224,-0.577884,4.270003
-0.753001,-0.582712,4.280003
-0.758777,-0.587539,4.290003
-0.764554,-0.592367,4.300004
-0.770331,-0.597195,4.310004
-0.776108,-0.602022,4.320004
-0.781884,-0.606850,4.330004
-0.787661,-0.611678,4.340004
-0.786007,-0.610738,4.350005
-0.779900,-0.606335,4.360005
-0.773793,-0.601932,4.370005
-0.767686,-0.597529,4.380005
-0.761580,-0.593127,4.390006
-0.755473,-0.588724,4.400006
-0.749366,-0.584321,4.410006
-0.743259,-0.579919,4.420006
-0.737152,-0.575516,4.430007
-0.731045,-0.571113,4.440007
-0.724938,-0.566711,4.450007
-0.718832,-0.562308,4.460007
-0.712725,-0.557905,4.470007
-0.706618,-0.553503,4.480008
-0.700511,-0.549100,4.490008
-0.694404,-0.544697,4.500008
-0.688297,-0.540294,4.510008
-0.682190,-0.535892,4.520009
-0.676084,-0.531489,4.530009
-0.669977,-0.527086,4.540009
-0.663870,-0.522684,4.550009
-0.657763,-0.518281,4.560009
-0.651656,-0.513878,4.570010
-0.645549,-0.509476,4.580010
-0.639442,-0.505073,4.590010
-0.633336,-0.500670,4.600010
-0.627229,-0.496267,4.610011
-0.621122,-0.491865,4.620011
-0.615015,-0.487462,4.630011
-0.608908,-0.483059,4.640011
-0.602801,-0.478657,4.650012
-0.596694,-0.474254,4.660012
-0.590588,-0.469851,4.670012
-0.584481,-0.465448,4.680012
-0.578374,-0.461046,4.690012
-0.572267,-0.456643,4.700013
-0.566160,-0.452240,4.710013
-0.560053,-0.447837,4.720013
-0.553946,-0.443435,4.730013
-0.547840,-0.439032,4.740014
-0.541733,-0.434629,4.750014
-0.535626,-0.430227,4.760014
-0.529519,-0.425824,4.770014
-0.523412,-0.421421,4.780015
-0.517305,-0.417018,4.790015
-0.511199,-0.412616,4.800015
-0.505092,-0.408213,4.810015
-0.498985,-0.403810,4.820015
-0.492878,-0.399407,4.830016
-0.486771,-0.395005,4.840016
-0.480664,-0.390602,4.850016
-0.474557,-0.386199,4.860016
