x,y,t
-0.560532,0.714299,1.739999
-0.559217,0.714256,1.749999
-0.557903,0.714212,1.759999
-0.556588,0.714168,1.769999
-0.555273,0.714125,1.779999
-0.553959,0.714081,1.789999
-0.552644,0.714038,1.799999
-0.551329,0.713994,1.809999
-0.550015,0.713950,1.819999
-0.548700,0.713907,1.829999
-0.547386,0.713863,1.839999
-0.546071,0.713819,1.849999
-0.544756,0.713776,1.859999
-0.543442,0.713732,1.869999
-0.542127,0.713688,1.879999
-0.540812,0.713645,1.889999
-0.539498,0.713601,1.899999
-0.538183,0.713558,1.909999
-0.536868,0.713514,1.919999
-0.535554,0.713470,1.929999
-0.534239,0.713427,1.939999
-0.532924,0.713383,1.949998
-0.531610,0.713339,1.959998
-0.530295,0.713296,1.969998
-0.528981,0.713252,1.979998
-0.527666,0.713209,1.989998
-0.526351,0.713165,1.999998
-0.525037,0.713121,2.009999
-0.523722,0.713078,2.019999
-0.522407,0.713034,2.029999
-0.521093,0.712990,2.039999
-0.519778,0.712947,2.049999
-0.518463,0.712903,2.059999
-0.517149,0.712860,2.069999
-0.515834,0.712816,2.079998
-0.514520,0.712772,2.089998
-0.513205,0.712729,2.099998
-0.511890,0.712685,2.109998
-0.510576,0.712641,2.119998
-0.509261,0.712598,2.129998
-0.507946,0.712554,2.139998
-0.506632,0.712510,2.149998
-0.505317,0.712467,2.159998
-0.504002,0.712423,2.169998
-0.502688,0.712380,2.179998
-0.501373,0.712336,2.189998
-0.500058,0.712292,2.199998
-0.498744,0.712249,2.209998
-0.497429,0.712205,2.219998
-0.496115,0.712161,2.229998
-0.494800,0.712118,2.239998
-0.493485,0.712074,2.249998
-0.492171,0.712031,2.259998
-0.490856,0.711987,2.269998
-0.489541,0.711943,2.279998
-0.488227,0.711900,2.289998
-0.486912,0.711856,2.299998
-0.485597,0.711812,2.309998
-0.484283,0.711769,2.319998
-0.482968,0.711725,2.329998
-0.481654,0.711681,2.339998
-0.480339,0.711638,2.349998
-0.479024,0.711594,2.359998
-0.477710,0.711551,2.369998
-0.476395,0.711507,2.379998
-0.475080,0.711463,2.389998
-0.473766,0.711420,2.399998
-0.472451,0.711376,2.409998
-0.471136,0.711332,2.419998
-0.469822,0.711289,2.429998
-0.468507,0.711245,2.439998
-0.467192,0.711202,2.449998
-0.465878,0.711158,2.459998
-0.464563,0.711114,2.469998
-0.463249,0.711071,2.479998
-0.461934,0.711027,2.489998
-0.460619,0.710983,2.499998
-0.459305,0.710940,2.509998
-0.457990,0.710896,2.519998
-0.456675,0.710853,2.529998
-0.455361,0.710809,2.539998
-0.454046,0.710765,2.549998
-0.452731,0.710722,2.559998
-0.451417,0.710678,2.569998
-0.450102,0.710634,2.579998
-0.448788,0.710591,2.589998
-0.447473,0.710547,2.599998
-0.446158,0.710503,2.609998
-0.444844,0.710460,2.619998
-0.443529,0.710416,2.629998
-0.442214,0.710373,2.639998
-0.440900,0.710329,2.649998
-0.439585,0.710285,2.659998
-0.438270,0.710242,2.669998
-0.436956,0.710198,2.679998
-0.435641,0.710154,2.689998
-0.434326,0.710111,2.699998
-0.433012,0.710067,2.709998
-0.431697,0.710024,2.719998
-0.430383,0.709980,2.729998
-0.429068,0.709936,2.739998
-0.427753,0.709893,2.749998
-0.426439,0.709849,2.759998
-0.425124,0.709805,2.769998
-0.423809,0.709762,2.779998
-0.422495,0.709718,2.789998
-0.421180,0.709674,2.799998
-0.419865,0.709631,2.809998
-0.418551,0.709587,2.819998
-0.417236,0.709544,2.829998
-0.415922,0.709500,2.839998
-0.414607,0.709456,2.849998
-0.413292,0.709413,2.859998
-0.411978,0.709369,2.869998
-0.410663,0.709325,2.879998
-0.409348,0.709282,2.889998
-0.408034,0.709238,2.899998
-0.406719,0.709195,2.909998
-0.405404,0.709151,2.919998
-0.404090,0.709107,2.929998
-0.402775,0.709064,2.939998
-0.401460,0.709020,2.949998
-0.400146,0.708976,2.959998
-0.398831,0.708933,2.969998
-0.397517,0.708889,2.979998
-0.396202,0.708845,2.989998
-0.394887,0.708802,2.999998
-0.393573,0.708758,3.009998
-0.392258,0.708715,3.019998
-0.390943,0.708671,3.029998
-0.389629,0.708627,3.039998
-0.388314,0.708584,3.049998
-0.386999,0.708540,3.059998
-0.385685,0.708496,3.069998
-0.384370,0.708453,3.079998
-0.383056,0.708409,3.089998
-0.381741,0.708366,3.099998
-0.380426,0.708322,3.109998
-0.379112,0.708278,3.119998
-0.377797,0.708235,3.129997
-0.376482,0.708191,3.139997
-0.375168,0.708147,3.149997
-0.373853,0.708104,3.159997
-0.372538,0.708060,3.169997
-0.371224,0.708017,3.179997
-0.369909,0.707973,3.189997
-0.368594,0.707929,3.199997
-0.367280,0.707886,3.209997
-0.365965,0.707842,3.219997
-0.364651,0.707798,3.229997
-0.363336,0.707755,3.239997
-0.362021,0.707711,3.249997
-0.360707,0.707667,3.259997
-0.359392,0.707624,3.269997
-0.358077,0.707580,3.279997
-0.356763,0.707537,3.289997
-0.355448,0.707493,3.299997
-0.354133,0.707449,3.309997
-0.352819,0.707406,3.319997
-0.351504,0.707362,3.329997
-0.350190,0.707318,3.339997
-0.348875,0.707275,3.349997
-0.347560,0.707231,3.359997
-0.346246,0.707188,3.369997
-0.344931,0.707144,3.379997
-0.343616,0.707100,3.389997
-0.342302,0.707057,3.399997
-0.340987,0.707013,3.409997
-0.339672,0.706969,3.419997
-0.338358,0.706926,3.429997
-0.337043,0.706882,3.439997
-0.335728,0.706838,3.449997
-0.334414,0.706795,3.459997
-0.333099,0.706751,3.469997
-0.331785,0.706708,3.479997
-0.330470,0.706664,3.489997
-0.329155,0.706620,3.499997
-0.327841,0.706577,3.509997
-0.326526,0.706533,3.519997
-0.325211,0.706489,3.529997
-0.323897,0.706446,3.539997
-0.322582,0.706402,3.549997
-0.321267,0.706359,3.559997
-0.319953,0.706315,3.569997
-0.318638,0.706271,3.579997
-0.317324,0.706228,3.589997
-0.316009,0.706184,3.599997
-0.314694,0.706140,3.609997
-0.313380,0.706097,3.619997
-0.312065,0.706053,3.629997
-0.310750,0.706010,3.639997
-0.309436,0.705966,3.649997
-0.308121,0.705922,3.659997
-0.306806,0.705879,3.669997
-0.305492,0.705835,3.679997
-0.304177,0.705791,3.689997
-0.302862,0.705748,3.699997
-0.301548,0.705704,3.709997
-0.300233,0.705660,3.719997
-0.298919,0.705617,3.729997
-0.297604,0.705573,3.739997
-0.296289,0.705530,3.749997
-0.294975,0.705486,3.759997
-0.293660,0.705442,3.769997
-0.292345,0.705399,3.779997
-0.291031,0.705355,3.789997
-0.289716,0.705311,3.799997
-0.288401,0.705268,3.809997
-0.287087,0.705224,3.819997
-0.285772,0.705181,3.829997
-0.284458,0.705137,3.839997
-0.283143,0.705093,3.849997
-0.281828,0.705050,3.859997
-0.280514,0.705006,3.869997
-0.279199,0.704962,3.879997
-0.277884,0.704919,3.889997
-0.276570,0.704875,3.899997
-0.275255,0.704831,3.909997
-0.273940,0.704788,3.919997
-0.272626,0.704744,3.929997
-0.271311,0.704701,3.939997
-0.269996,0.704657,3.949997
-0.268682,0.704613,3.959997
-0.267367,0.704570,3.969997
-0.266053,0.704526,3.979997
-0.264738,0.704482,3.989997
-0.263423,0.704439,3.999997
-0.262109,0.704395,4.009997
-0.260794,0.704352,4.019997
-0.259479,0.704308,4.029997
-0.258165,0.704264,4.039998
-0.256850,0.704221,4.049998
-0.255535,0.704177,4.059998
-0.254221,0.704133,4.069998
-0.252906,0.704090,4.079998
-0.251592,0.704046,4.089999
-0.250277,0.704002,4.099999
-0.248962,0.703959,4.109999
-0.247648,0.703915,4.119999
-0.246333,0.703872,4.130000
-0.245018,0.703828,4.140000
-0.243704,0.703784,4.150000
-0.242389,0.703741,4.160000
-0.241074,0.703697,4.170001
-0.239760,0.703653,4.180001
-0.238445,0.703610,4.190001
-0.237130,0.703566,4.200001
-0.235816,0.703523,4.210001
-0.234501,0.703479,4.220002
-0.233186,0.703435,4.230002
-0.231872,0.703392,4.240002
-0.230557,0.703348,4.250002
-0.229242,0.703304,4.260003
-0.227928,0.703261,4.270003
-0.226613,0.703217,4.280003
-0.225298,0.703174,4.290003
-0.223984,0.703130,4.300004
-0.222669,0.703086,4.310004
-0.221354,0.703043,4.320004
