time,theta,omega
202.627914, 2.361015, 0.322272
207.345322, 1.761422, -1.743534
212.052734, 2.063006, 0.188718
216.770142, 1.374551, -1.874260
221.477554, 2.361757, 0.322541
226.194962, 1.762679, -1.742971
230.902374, 2.061879, 0.188170
235.619781, 1.373593, -1.874433
240.327194, 2.362347, 0.322739
245.044601, 1.763647, -1.742526
249.752014, 2.060994, 0.187722
254.469421, 1.372809, -1.874569
259.181671, 2.359910, 0.318609
263.896271, 1.770740, -1.737766
268.610870, 2.047728, 0.175183
273.315460, 1.388005, -1.869680
278.030060, 2.349648, 0.314889
282.744659, 1.753731, -1.745394
287.459259, 2.062964, 0.182596
292.163849, 1.400517, -1.867453
296.878448, 2.341939, 0.312425
301.593048, 1.741965, -1.750832
306.307648, 2.073905, 0.188301
311.022247, 1.392003, -1.866194
315.726837, 2.335863, 0.310737
320.441437, 1.733439, -1.754933
325.156036, 2.082207, 0.192944
329.870636, 1.400583, -1.864655
334.575226, 2.330891, 0.309577
339.289825, 1.727071, -1.758152
344.004425, 2.088756, 0.196874
348.719025, 1.408034, -1.863333
353.433624, 2.329727, 0.300030
358.138214, 1.722245, -1.760746
362.852814, 2.094049, 0.200294
367.567413, 1.414629, -1.862183
372.282013, 2.326164, 0.299530
376.986603, 1.718576, -1.762870
381.701202, 2.098411, 0.203330
386.415802, 1.420579, -1.861162
391.130402, 2.323044, 0.299235
395.845001, 1.698057, -1.765791
400.549591, 2.102106, 0.206084
405.264191, 1.425998, -1.860268
409.978790, 2.320334, 0.299143
414.693390, 1.695945, -1.767297
419.397980, 2.105193, 0.208597
424.112579, 1.430995, -1.859464
428.827179, 2.317910, 0.299190
433.541779, 1.694357, -1.768589
438.256378, 2.109873, 0.201342
442.960968, 1.435668, -1.858732
447.675568, 2.315737, 0.299354
452.390167, 1.693238, -1.769699
457.104767, 2.112188, 0.203532
461.809357, 1.440038, -1.858071
466.523956, 2.313773, 0.299621
471.238556, 1.692489, -1.770663
475.953156, 2.114195, 0.205598
480.667755, 1.425586, -1.858154
