time,theta,omega
202.627914, 2.334306, 0.308906
207.345322, 1.716738, -1.759894
212.052734, 2.095098, 0.201664
216.770142, 1.406074, -1.864660
221.477554, 2.334333, 0.308834
226.194962, 1.716582, -1.759907
230.902374, 2.095123, 0.201587
235.619781, 1.405927, -1.864662
240.327194, 2.334356, 0.308760
245.044601, 1.716439, -1.759914
249.752014, 2.095134, 0.201503
254.469421, 1.405760, -1.864668
259.181671, 2.331488, 0.304446
263.896271, 1.723421, -1.755219
268.610870, 2.082007, 0.188905
273.315460, 1.419242, -1.860354
278.030060, 2.322583, 0.301499
282.744659, 1.710300, -1.761078
287.459259, 2.093955, 0.195072
292.163849, 1.430908, -1.857964
296.878448, 2.315353, 0.299296
301.593048, 1.700328, -1.765654
306.307648, 2.103339, 0.200206
311.022247, 1.422384, -1.856573
315.726837, 2.309273, 0.297638
320.441437, 1.692529, -1.769352
325.156036, 2.110967, 0.204620
329.870636, 1.431251, -1.854770
334.575226, 2.304031, 0.296380
339.289825, 1.686301, -1.772422
344.004425, 2.117325, 0.208514
348.719025, 1.439218, -1.853160
353.433624, 2.302303, 0.286543
358.138214, 1.681258, -1.775017
362.852814, 2.122732, 0.212016
367.567413, 1.446481, -1.851702
372.282013, 2.298201, 0.285818
376.986603, 1.677122, -1.777256
381.701202, 2.127411, 0.215215
386.415802, 1.453193, -1.850366
391.130402, 2.294500, 0.285274
395.845001, 1.655868, -1.780325
400.549591, 2.131524, 0.218170
405.264191, 1.459427, -1.849149
409.978790, 2.291154, 0.284907
414.693390, 1.653051, -1.782045
419.397980, 2.135134, 0.220921
424.112579, 1.465278, -1.848018
428.827179, 2.288084, 0.284673
433.541779, 1.650716, -1.783580
438.256378, 2.140485, 0.214014
442.960968, 1.470793, -1.846970
447.675568, 2.285259, 0.284555
452.390167, 1.648817, -1.784943
457.104767, 2.143383, 0.216470
461.809357, 1.476025, -1.845991
466.523956, 2.282644, 0.284537
471.238556, 1.647263, -1.786175
475.953156, 2.146003, 0.218808
480.667755, 1.462567, -1.845860
485.372345, 2.280194, 0.284600
490.086945, 1.646003, -1.787294
494.801544, 2.148384, 0.221046
499.516144, 1.467359, -1.845011
504.220734, 2.277906, 0.284734
508.935333, 1.645012, -1.788310
513.649902, 2.150577, 0.223226
518.364502, 1.472049, -1.844198
523.079102, 2.278478, 0.275970
527.783691, 1.644265, -1.789248
532.498291, 2.152556, 0.225302
537.212891, 1.476501, -1.843430
541.927490, 2.276436, 0.276220
546.642090, 1.625778, -1.791175
551.346680, 2.154392, 0.227306
556.061279, 1.480809, -1.842702
560.775879, 2.274503, 0.276521
565.490479, 1.625373, -1.791972
570.195068, 2.156085, 0.229251
574.909668, 1.484995, -1.842002
579.624268, 2.272659, 0.276866
584.338867, 1.625117, -1.792712
589.053467, 2.159871, 0.221708
593.758057, 1.489067, -1.841329
598.472656, 2.270900, 0.277250
603.187256, 1.625009, -1.793393
607.901855, 2.161342, 0.223558
612.606445, 1.493024, -1.840690
617.321045, 2.269224, 0.277676
622.035645, 1.625033, -1.794026
626.750244, 2.162709, 0.225364
631.464844, 1.478485, -1.840888
636.169434, 2.267607, 0.278129
640.884033, 1.625158, -1.794623
645.598633, 2.163993, 0.227133
650.313232, 1.482269, -1.840308
655.017822, 2.266061, 0.278615
659.732422, 1.625391, -1.795178
664.447021, 2.165190, 0.228865
669.161621, 1.485979, -1.839746
673.876221, 2.267274, 0.270096
678.580811, 1.625725, -1.795692
683.295410, 2.166305, 0.230561
688.010010, 1.489613, -1.839201
692.724609, 2.265845, 0.270636
697.429199, 1.626155, -1.796172
702.143799, 2.167338, 0.232224
706.858398, 1.493167, -1.838677
711.572998, 2.264473, 0.271201
716.287598, 1.608675, -1.797680
720.992188, 2.168319, 0.233862
725.706787, 1.496672, -1.838165
730.421387, 2.263131, 0.271784
735.135986, 1.609245, -1.798112
739.840576, 2.169245, 0.235475
744.555176, 1.500122, -1.837664
749.269775, 2.261835, 0.272385
753.984375, 1.609877, -1.798523
758.698975, 2.172392, 0.227678
763.403564, 1.503515, -1.837179
768.118164, 2.260583, 0.273009
772.832764, 1.610572, -1.798900
777.547363, 2.173212, 0.229231
782.251953, 1.506822, -1.836709
786.966553, 2.259379, 0.273640
791.681152, 1.611330, -1.799261
796.395752, 2.173994, 0.230783
801.110352, 1.491736, -1.837105
805.814941, 2.258200, 0.274300
810.529541, 1.612159, -1.799597
815.244141, 2.174725, 0.232312
819.958740, 1.494992, -1.836668
824.663330, 2.257053, 0.274973
829.377930, 1.613028, -1.799916
834.092529, 2.175413, 0.233826
838.807129, 1.498203, -1.836243
