time,theta,omega
202.627914, 2.596708, 0.452538
207.345322, 2.269354, -1.548923
212.052734, 1.707656, 0.052995
216.770142, 1.133315, -1.941001
221.477554, 2.630582, 0.473943
226.194962, 2.397787, -1.488740
230.902374, 1.594435, 0.007541
235.619781, 1.171886, -1.913769
240.327194, 2.593249, 0.450223
245.044601, 2.256234, -1.554959
249.752014, 1.719082, 0.057243
254.469421, 1.130519, -1.943225
259.181671, 2.630176, 0.470928
263.896271, 2.402979, -1.484791
268.610870, 1.582672, -0.003920
273.315460, 1.201259, -1.904944
278.030060, 2.568076, 0.434236
282.744659, 2.181692, -1.589229
287.459259, 1.779454, 0.074727
292.163849, 1.149714, -1.948243
296.878448, 2.621701, 0.469640
301.593048, 2.381603, -1.496467
306.307648, 1.604241, 0.007421
311.022247, 1.177044, -1.910882
315.726837, 2.576032, 0.441501
320.441437, 2.216392, -1.574668
325.156036, 1.751757, 0.066571
329.870636, 1.137429, -1.943516
334.575226, 2.617049, 0.468826
339.289825, 2.370925, -1.503206
344.004425, 1.616612, 0.014849
348.719025, 1.176356, -1.914282
353.433624, 2.584226, 0.438731
358.138214, 2.237020, -1.566700
362.852814, 1.736545, 0.063163
367.567413, 1.144146, -1.941040
372.282013, 2.618026, 0.461487
376.986603, 2.364486, -1.507960
381.701202, 1.625297, 0.020741
386.415802, 1.177373, -1.916627
391.130402, 2.586480, 0.442505
395.845001, 2.236568, -1.561314
400.549591, 1.726173, 0.061585
405.264191, 1.150422, -1.939285
409.978790, 2.615005, 0.461883
414.693390, 2.345369, -1.511120
419.397980, 1.631855, 0.025752
424.112579, 1.179305, -1.918400
428.827179, 2.587873, 0.445760
433.541779, 2.248839, -1.557260
438.256378, 1.718912, 0.050864
442.960968, 1.156405, -1.937937
447.675568, 2.612350, 0.462547
452.390167, 2.342845, -1.514053
457.104767, 1.637301, 0.020171
461.809357, 1.181819, -1.919802
466.523956, 2.588712, 0.448671
471.238556, 2.259176, -1.554121
475.953156, 1.712849, 0.050939
480.667755, 1.142787, -1.936414
485.372345, 2.609966, 0.463397
490.086945, 2.341371, -1.516489
494.801544, 1.641665, 0.024283
499.516144, 1.165503, -1.920687
504.220734, 2.589202, 0.451363
508.935333, 2.268306, -1.551552
513.649902, 1.707877, 0.051449
518.364502, 1.148423, -1.935575
523.079102, 2.612340, 0.457057
527.783691, 2.340749, -1.518545
532.498291, 1.645324, 0.028145
537.212891, 1.168723, -1.921682
541.927490, 2.593867, 0.446466
546.642090, 2.261037, -1.549347
551.346680, 1.703686, 0.052245
556.061279, 1.153880, -1.934856
560.775879, 2.610305, 0.458138
565.490479, 2.325406, -1.519993
570.195068, 1.648517, 0.031790
574.909668, 1.172084, -1.922550
579.624268, 2.593917, 0.448887
584.338867, 2.268575, -1.547526
589.053467, 1.700546, 0.043127
593.758057, 1.159206, -1.934244
598.472656, 2.608404, 0.459310
603.187256, 2.325800, -1.521551
607.901855, 1.651467, 0.025158
612.606445, 1.175629, -1.923286
617.321045, 2.593783, 0.451193
622.035645, 2.275476, -1.546007
626.750244, 1.697535, 0.044366
631.464844, 1.145095, -1.933289
636.169434, 2.606607, 0.460552
640.884033, 2.326579, -1.522927
645.598633, 1.653860, 0.028482
650.313232, 1.160049, -1.923623
655.017822, 2.593542, 0.453432
659.732422, 2.282008, -1.544662
664.447021, 1.694842, 0.045724
669.161621, 1.150238, -1.932868
673.876221, 2.609430, 0.454479
678.580811, 2.327675, -1.524153
683.295410, 1.655971, 0.031695
688.010010, 1.163823, -1.924227
692.724609, 2.597664, 0.448169
697.429199, 2.288122, -1.543518
702.143799, 1.692520, 0.047221
706.858398, 1.155314, -1.932504
711.572998, 2.607806, 0.455830
716.287598, 2.313860, -1.524907
720.992188, 1.657777, 0.034789
725.706787, 1.167687, -1.924756
730.421387, 2.597226, 0.450284
735.135986, 2.278481, -1.542379
739.840576, 1.690481, 0.048825
744.555176, 1.160324, -1.932185
749.269775, 2.606239, 0.457220
753.984375, 2.315492, -1.525879
758.698975, 1.659673, 0.027716
763.403564, 1.171637, -1.925226
768.118164, 2.596716, 0.452351
772.832764, 2.284000, -1.541500
777.547363, 1.689063, 0.040378
782.251953, 1.165253, -1.931900
786.966553, 2.604727, 0.458636
791.681152, 2.317314, -1.526751
796.395752, 1.661132, 0.030655
801.110352, 1.156354, -1.925306
805.814941, 2.596158, 0.454374
810.529541, 2.289369, -1.540706
815.244141, 1.687404, 0.042129
819.958740, 1.150851, -1.931252
824.663330, 2.603245, 0.460086
829.377930, 2.319303, -1.527555
834.092529, 1.662460, 0.033558
838.807129, 1.160396, -1.925727
843.521729, 2.600018, 0.448956
848.226318, 2.294519, -1.540017
852.940918, 1.685937, 0.043954
857.655518, 1.155730, -1.931059
862.370117, 2.606354, 0.454190
867.074707, 2.321501, -1.528261
871.789307, 1.663592, 0.036388
876.503906, 1.164511, -1.926092
881.218506, 2.599353, 0.450925
885.933105, 2.284081, -1.539242
890.637695, 1.684633, 0.045839
895.352295, 1.160571, -1.930888
900.066895, 2.604964, 0.455697
904.781494, 2.308544, -1.528626
909.486084, 1.664612, 0.039172
914.200684, 1.168656, -1.926428
918.915283, 2.598649, 0.452870
923.629883, 2.288908, -1.538704
928.344482, 1.683822, 0.037653
933.049072, 1.165363, -1.930735
937.763672, 2.603612, 0.457229
942.478271, 2.310996, -1.529211
947.192871, 1.665826, 0.031816
951.907471, 1.153578, -1.926361
956.612061, 2.597897, 0.454788
961.326660, 2.293602, -1.538227
966.041260, 1.682761, 0.039633
970.755859, 1.150835, -1.930212
975.460449, 2.602288, 0.458781
980.175049, 2.313582, -1.529735
984.889648, 1.666627, 0.034515
989.604248, 1.157805, -1.926661
994.318848, 2.601594, 0.449266
