time,theta,omega
202.627914, -1.016576, 1.962552
207.345322, -2.810757, -0.583360
212.052734, -3.116110, 1.237378
216.770142, -1.835711, 0.259967
221.477554, -0.694876, 2.079144
226.194962, -3.081825, -0.768925
230.902374, 0.885730, 1.736004
235.619781, 2.203598, -1.480493
240.327194, 1.772373, 0.061281
245.044601, 0.956928, -2.021524
249.752014, 2.866237, 0.629277
254.469421, -2.823435, -1.161273
259.181671, 0.336644, 1.903509
263.896271, 2.507391, -1.252191
268.610870, 1.482352, -0.099464
273.315460, 1.062652, -1.957309
278.030060, 2.764669, 0.558734
282.744659, 2.895267, -1.305190
287.459259, 1.387437, -0.236886
292.163849, 1.072461, -1.941001
296.878448, 2.751920, 0.550276
301.593048, 2.833024, -1.329823
306.307648, 1.377136, -0.194036
311.022247, 1.093171, -1.928126
315.726837, 2.719908, 0.531462
320.441437, 2.685960, -1.390567
325.156036, 1.431670, -0.105064
329.870636, 1.092513, -1.937479
334.575226, 2.725222, 0.536876
339.289825, 2.717459, -1.378319
344.004425, 1.415029, -0.120207
348.719025, 1.101750, -1.932995
353.433624, 2.723115, 0.526482
358.138214, 2.687116, -1.392034
362.852814, 1.433171, -0.101779
367.567413, 1.096464, -1.938002
372.282013, 2.729832, 0.532107
376.986603, 2.723203, -1.377918
381.701202, 1.414001, -0.119464
386.415802, 1.106748, -1.932795
391.130402, 2.721396, 0.527714
395.845001, 2.674107, -1.391082
400.549591, 1.434820, -0.098369
405.264191, 1.100333, -1.938561
409.978790, 2.729208, 0.534061
414.693390, 2.715540, -1.374569
419.397980, 1.412815, -0.118940
424.112579, 1.111770, -1.932559
428.827179, 2.719657, 0.528940
433.541779, 2.674918, -1.392705
438.256378, 1.435491, -0.104282
442.960968, 1.104180, -1.939135
447.675568, 2.728621, 0.536044
452.390167, 2.721839, -1.373932
457.104767, 1.410272, -0.127748
461.809357, 1.116833, -1.932284
466.523956, 2.717869, 0.530137
471.238556, 2.675533, -1.394408
475.953156, 1.437353, -0.100715
480.667755, 1.088578, -1.939045
485.372345, 2.728076, 0.538060
490.086945, 2.728390, -1.373204
494.801544, 1.408921, -0.127483
499.516144, 1.102585, -1.931401
504.220734, 2.716075, 0.531331
508.935333, 2.676122, -1.396120
513.649902, 1.439271, -0.097107
518.364502, 1.092370, -1.939704
523.079102, 2.732896, 0.533461
527.783691, 2.735194, -1.372410
532.498291, 1.407503, -0.127332
537.212891, 1.107697, -1.931126
541.927490, 2.719517, 0.525806
546.642090, 2.662797, -1.395384
551.346680, 1.441150, -0.093523
556.061279, 1.096131, -1.940342
560.775879, 2.732383, 0.535496
565.490479, 2.728165, -1.368762
570.195068, 1.406167, -0.127172
574.909668, 1.112718, -1.930861
579.624268, 2.717763, 0.527021
584.338867, 2.663538, -1.397030
589.053467, 1.441953, -0.099447
593.758057, 1.099930, -1.940950
598.472656, 2.731830, 0.537503
603.187256, 2.734648, -1.368073
607.901855, 1.403590, -0.136096
612.606445, 1.117671, -1.930618
617.321045, 2.716079, 0.528280
622.035645, 2.664634, -1.398521
626.750244, 1.443568, -0.096134
631.464844, 1.084403, -1.940771
636.169434, 2.731197, 0.539458
640.884033, 2.740780, -1.367544
645.598633, 1.402576, -0.135646
650.313232, 1.103229, -1.929847
655.017822, 2.714469, 0.529593
659.732422, 2.666073, -1.399863
664.447021, 1.444966, -0.092997
669.161621, 1.088378, -1.941290
673.876221, 2.735813, 0.534700
678.580811, 2.746471, -1.367207
683.295410, 1.401784, -0.134959
688.010010, 1.108027, -1.929736
692.724609, 2.718167, 0.524205
697.429199, 2.667853, -1.401060
702.143799, 1.446140, -0.090036
706.858398, 1.092458, -1.941738
711.572998, 2.734999, 0.536533
716.287598, 2.738042, -1.364097
720.992188, 1.401218, -0.134007
725.706787, 1.112736, -1.929676
730.421387, 2.716717, 0.525622
735.135986, 2.656023, -1.399692
739.840576, 1.447066, -0.087272
744.555176, 1.096638, -1.942111
749.269775, 2.734082, 0.538299
753.984375, 2.742791, -1.364142
758.698975, 1.399447, -0.141929
763.403564, 1.117405, -1.929651
768.118164, 2.715315, 0.527071
772.832764, 2.658414, -1.400609
777.547363, 1.446880, -0.094089
782.251953, 1.100879, -1.942427
786.966553, 2.733085, 0.539998
791.681152, 2.747127, -1.364351
796.395752, 1.399276, -0.140492
801.110352, 1.102702, -1.929074
805.814941, 2.713967, 0.528545
810.529541, 2.661031, -1.401443
815.244141, 1.447528, -0.091556
819.958740, 1.085781, -1.941990
824.663330, 2.732033, 0.541677
829.377930, 2.751263, -1.364660
834.092529, 1.399204, -0.138921
838.807129, 1.107278, -1.929140
843.521729, 2.717883, 0.523303
848.226318, 2.663881, -1.402179
852.940918, 1.448020, -0.089141
857.655518, 1.090184, -1.942248
862.370117, 2.736255, 0.536662
867.074707, 2.755014, -1.365132
871.789307, 1.399296, -0.137125
