time,theta,omega
202.627914, 1.963874, 0.150171
207.345322, 1.293732, -1.896860
212.052734, 2.435817, 0.361021
216.770142, 1.902484, -1.689441
221.477554, 1.960631, 0.148828
226.194962, 1.292336, -1.896911
230.902374, 2.436646, 0.361330
235.619781, 1.904204, -1.688631
240.327194, 1.959078, 0.148140
245.044601, 1.291589, -1.896935
249.752014, 2.437060, 0.361441
254.469421, 1.904975, -1.688241
259.181671, 1.955554, 0.143869
263.896271, 1.304103, -1.890852
268.610870, 2.420039, 0.345528
273.315460, 1.882151, -1.700052
278.030060, 1.977109, 0.153842
282.744659, 1.315247, -1.890213
287.459259, 2.413777, 0.343732
292.163849, 1.871143, -1.705537
296.878448, 1.987759, 0.159234
301.593048, 1.322291, -1.889715
306.307648, 2.410146, 0.343169
311.022247, 1.848926, -1.709545
315.726837, 1.993482, 0.162710
320.441437, 1.327278, -1.889363
325.156036, 2.407861, 0.343247
329.870636, 1.846766, -1.711200
334.575226, 1.996735, 0.165215
339.289825, 1.331166, -1.889118
344.004425, 2.406321, 0.343678
348.719025, 1.846245, -1.712151
353.433624, 2.000204, 0.157306
358.138214, 1.334403, -1.888945
362.852814, 2.405228, 0.344324
367.567413, 1.846728, -1.712674
372.282013, 2.001281, 0.158957
376.986603, 1.337231, -1.888818
381.701202, 2.404403, 0.345100
386.415802, 1.847797, -1.712938
391.130402, 2.001859, 0.160404
395.845001, 1.320914, -1.889064
400.549591, 2.403748, 0.345947
405.264191, 1.849201, -1.713069
409.978790, 2.002170, 0.161753
414.693390, 1.323363, -1.888999
419.397980, 2.403173, 0.346846
424.112579, 1.850822, -1.713102
428.827179, 2.002299, 0.163027
433.541779, 1.325722, -1.888945
438.256378, 2.406064, 0.339358
442.960968, 1.852587, -1.713072
447.675568, 2.002306, 0.164254
452.390167, 1.328024, -1.888894
457.104767, 2.405603, 0.340307
461.809357, 1.854435, -1.713010
466.523956, 2.002248, 0.165454
471.238556, 1.330289, -1.888847
475.953156, 2.405169, 0.341270
480.667755, 1.839199, -1.714005
485.372345, 2.002139, 0.166637
490.086945, 1.332536, -1.888800
494.801544, 2.404746, 0.342238
499.516144, 1.841141, -1.713907
504.220734, 2.001986, 0.167804
508.935333, 1.334763, -1.888752
513.649902, 2.404361, 0.343248
518.364502, 1.843221, -1.713767
523.079102, 2.003365, 0.159103
527.783691, 1.337004, -1.888711
532.498291, 2.403937, 0.344225
537.212891, 1.845175, -1.713661
541.927490, 2.003225, 0.160272
546.642090, 1.320347, -1.888998
551.346680, 2.403520, 0.345197
556.061279, 1.847132, -1.713552
560.775879, 2.003076, 0.161437
565.490479, 1.322563, -1.888965
570.195068, 2.403113, 0.346174
574.909668, 1.849111, -1.713433
579.624268, 2.002906, 0.162595
584.338867, 1.324774, -1.888928
589.053467, 2.406099, 0.338731
593.758057, 1.851096, -1.713312
598.472656, 2.002731, 0.163751
603.187256, 1.326984, -1.888892
607.901855, 2.405699, 0.339710
612.606445, 1.853086, -1.713187
617.321045, 2.002555, 0.164905
622.035645, 1.329189, -1.888853
626.750244, 2.405314, 0.340695
631.464844, 1.837956, -1.714136
636.169434, 2.002360, 0.166051
640.884033, 1.331385, -1.888815
645.598633, 2.404919, 0.341679
650.313232, 1.839944, -1.714016
655.017822, 2.002177, 0.167206
659.732422, 1.333597, -1.888771
664.447021, 2.404525, 0.342660
669.161621, 1.841953, -1.713888
673.876221, 2.003568, 0.158477
678.580811, 1.335791, -1.888729
683.295410, 2.404126, 0.343641
688.010010, 1.843932, -1.713771
692.724609, 2.003404, 0.159636
697.429199, 1.337998, -1.888684
702.143799, 2.403727, 0.344622
706.858398, 1.845935, -1.713645
711.572998, 2.003220, 0.160789
716.287598, 1.321308, -1.888982
720.992188, 2.403335, 0.345606
725.706787, 1.847942, -1.713514
730.421387, 2.003029, 0.161938
735.135986, 1.323512, -1.888949
739.840576, 2.402935, 0.346585
