time,theta,omega
202.627914, 2.564178, 0.433230
207.345322, 2.197471, -1.572527
212.052734, 1.748140, 0.069503
216.770142, 1.180064, -1.923217
221.477554, 2.565252, 0.433842
226.194962, 2.200946, -1.570835
230.902374, 1.744960, 0.068228
235.619781, 1.180421, -1.922639
240.327194, 2.564706, 0.433396
245.044601, 2.198780, -1.571792
249.752014, 1.746758, 0.068814
254.469421, 1.179969, -1.922961
259.181671, 2.562041, 0.429032
263.896271, 2.198563, -1.570367
268.610870, 1.739570, 0.059246
273.315460, 1.205886, -1.915993
278.030060, 2.543383, 0.419944
282.744659, 2.142730, -1.597270
287.459259, 1.790277, 0.079341
292.163849, 1.202372, -1.924414
296.878448, 2.550272, 0.425794
301.593048, 2.169506, -1.585581
306.307648, 1.768256, 0.072347
311.022247, 1.187156, -1.920848
315.726837, 2.547185, 0.424886
320.441437, 2.162435, -1.589715
325.156036, 1.776037, 0.076462
329.870636, 1.188623, -1.922131
334.575226, 2.547734, 0.426490
339.289825, 2.167840, -1.588012
344.004425, 1.772827, 0.076481
348.719025, 1.191159, -1.921669
353.433624, 2.551029, 0.419422
358.138214, 2.168293, -1.588623
362.852814, 1.773967, 0.078124
367.567413, 1.193279, -1.921892
372.282013, 2.550700, 0.420428
376.986603, 2.170674, -1.588336
381.701202, 1.773424, 0.079135
386.415802, 1.195570, -1.921838
391.130402, 2.550148, 0.421271
395.845001, 2.156409, -1.588753
400.549591, 1.773530, 0.080382
405.264191, 1.197770, -1.921902
409.978790, 2.549703, 0.422195
414.693390, 2.158395, -1.588649
419.397980, 1.773323, 0.081520
424.112579, 1.200029, -1.921903
428.827179, 2.549192, 0.423077
433.541779, 2.160171, -1.588645
438.256378, 1.774027, 0.072574
442.960968, 1.202252, -1.921937
447.675568, 2.548723, 0.423985
452.390167, 2.162092, -1.588571
457.104767, 1.773885, 0.073736
461.809357, 1.204508, -1.921946
466.523956, 2.548217, 0.424871
471.238556, 2.163883, -1.588558
475.953156, 1.773860, 0.074943
480.667755, 1.187517, -1.921764
485.372345, 2.547733, 0.425774
490.086945, 2.165766, -1.588501
494.801544, 1.773752, 0.076119
499.516144, 1.189767, -1.921789
504.220734, 2.547230, 0.426664
508.935333, 2.167597, -1.588470
513.649902, 1.773706, 0.077338
518.364502, 1.192048, -1.921831
523.079102, 2.550945, 0.419910
527.783691, 2.169552, -1.588401
532.498291, 1.773549, 0.078507
537.212891, 1.194297, -1.921849
541.927490, 2.550454, 0.420802
546.642090, 2.155511, -1.588719
551.346680, 1.773470, 0.079692
556.061279, 1.196550, -1.921873
560.775879, 2.549951, 0.421690
565.490479, 2.157315, -1.588701
570.195068, 1.773423, 0.080890
574.909668, 1.198786, -1.921902
579.624268, 2.549480, 0.422596
584.338867, 2.159219, -1.588636
589.053467, 1.774009, 0.071900
593.758057, 1.201033, -1.921917
598.472656, 2.548980, 0.423486
603.187256, 2.161029, -1.588615
607.901855, 1.773968, 0.073101
612.606445, 1.203268, -1.921941
617.321045, 2.548490, 0.424383
622.035645, 2.162890, -1.588569
626.750244, 1.773884, 0.074283
631.464844, 1.186294, -1.921740
636.169434, 2.548003, 0.425281
640.884033, 2.164751, -1.588523
645.598633, 1.773796, 0.075466
650.313232, 1.188533, -1.921772
655.017822, 2.547507, 0.426174
659.732422, 2.166585, -1.588488
664.447021, 1.773727, 0.076657
669.161621, 1.190770, -1.921807
673.876221, 2.551214, 0.419386
678.580811, 2.168465, -1.588437
683.295410, 1.773621, 0.077833
688.010010, 1.193018, -1.921833
692.724609, 2.550726, 0.420282
697.429199, 2.170304, -1.588400
702.143799, 1.773546, 0.079021
