time,theta,omega
202.627914, -2.876641, 1.309331
207.345322, -1.410782, 0.216940
212.052734, -0.981542, 1.978609
216.770142, -2.874857, -0.627505
221.477554, 2.828281, 1.179114
226.194962, -0.155253, -1.943041
230.902374, -2.579026, 1.205888
235.619781, -1.468645, 0.131421
240.327194, -0.978589, 1.987843
245.044601, -2.880588, -0.632100
249.752014, 2.790358, 1.174849
254.469421, -0.655052, -1.819139
259.181671, -2.279187, 1.424899
263.896271, -1.712275, -0.025762
268.610870, -0.910390, 2.031211
273.315460, -2.921449, -0.668639
278.030060, 2.478843, 1.169064
282.744659, -2.684443, -1.150199
287.459259, 1.733464, 1.359644
292.163849, 2.191730, -1.582501
296.878448, 1.851002, 0.101701
301.593048, 0.930071, -2.047236
306.307648, 2.923342, 0.666563
311.022247, -2.489748, -1.162133
315.726837, 2.662179, 1.154470
320.441437, -1.837227, -1.322783
325.156036, -2.265225, 1.551385
329.870636, -1.780371, -0.066939
334.575226, -0.933402, 2.040877
339.289825, -2.921746, -0.668977
344.004425, 2.478321, 1.168080
348.719025, -2.691453, -1.149459
353.433624, 1.694540, 1.375035
358.138214, 2.166960, -1.590554
362.852814, 1.870917, 0.108839
367.567413, 0.932022, -2.048521
372.282013, 2.921796, 0.664914
376.986603, -2.493139, -1.171899
381.701202, 2.609744, 1.153418
386.415802, -2.141958, -1.219737
391.130402, -2.667938, 1.383558
395.845001, -1.457569, 0.102996
400.549591, -1.022024, 1.974739
405.264191, -2.832614, -0.604950
409.978790, 3.057096, 1.215229
414.693390, -2.764683, -0.233563
419.397980, -2.076670, 1.690132
424.112579, -1.983293, -0.164032
428.827179, -0.984142, 2.050052
433.541779, -2.886638, -0.644655
438.256378, 2.725058, 1.160959
442.960968, -1.381252, -1.523307
447.675568, -2.080453, 1.604499
452.390167, -1.934583, -0.131178
457.104767, -0.945866, 2.051300
461.809357, -2.905086, -0.662766
466.523956, 2.570231, 1.165689
471.238556, -2.291289, -1.184894
475.953156, -2.992280, 1.264277
480.667755, -1.523805, 0.286465
485.372345, -0.839166, 2.025377
490.086945, -2.982615, -0.704553
494.801544, 2.029663, 1.259656
499.516144, 2.495916, -1.453771
504.220734, 1.580917, -0.014926
508.935333, 0.969785, -2.005014
513.649902, 2.881127, 0.637584
