time,theta,omega
202.627914, 2.610995, 0.460718
207.345322, 2.259950, -1.568408
212.052734, 1.750906, 0.067971
216.770142, 1.044237, -1.984923
221.477554, 2.750720, 0.551695
226.194962, 2.870890, -1.300118
230.902374, 1.355401, -0.223177
235.619781, 1.171898, -1.890979
240.327194, 2.624022, 0.468258
245.044601, 2.308588, -1.545492
249.752014, 1.707123, 0.050170
254.469421, 1.050692, -1.977432
259.181671, 2.740000, 0.541430
263.896271, 2.820110, -1.318232
268.610870, 1.348414, -0.198882
273.315460, 1.218629, -1.877227
278.030060, 2.584416, 0.443699
282.744659, 2.175649, -1.607111
287.459259, 1.820440, 0.089758
292.163849, 1.070143, -1.989543
296.878448, 2.733709, 0.542013
301.593048, 2.805078, -1.326134
306.307648, 1.351393, -0.185107
311.022247, 1.208362, -1.876344
315.726837, 2.580205, 0.443652
320.441437, 2.168361, -1.612217
325.156036, 1.830137, 0.096057
329.870636, 1.055641, -1.989700
334.575226, 2.732358, 0.543651
339.289825, 2.808102, -1.326941
344.004425, 1.351846, -0.183004
348.719025, 1.212753, -1.876336
353.433624, 2.583544, 0.437890
358.138214, 2.172087, -1.612181
362.852814, 1.829958, 0.098433
367.567413, 1.060277, -1.989975
372.282013, 2.736480, 0.538552
376.986603, 2.811192, -1.327727
381.701202, 1.352280, -0.180946
386.415802, 1.217138, -1.876312
391.130402, 2.582509, 0.439624
395.845001, 2.159629, -1.612387
400.549591, 1.829807, 0.100813
405.264191, 1.064901, -1.990246
409.978790, 2.735242, 0.540104
414.693390, 2.801060, -1.325137
419.397980, 1.352704, -0.178924
424.112579, 1.221484, -1.876299
428.827179, 2.581509, 0.441387
433.541779, 2.163459, -1.612305
438.256378, 1.830453, 0.093022
442.960968, 1.069539, -1.990490
447.675568, 2.733992, 0.541656
452.390167, 2.804162, -1.325912
457.104767, 1.351269, -0.185696
461.809357, 1.225863, -1.876264
466.523956, 2.580483, 0.443133
471.238556, 2.167204, -1.612263
475.953156, 1.830260, 0.095394
480.667755, 1.054287, -1.989627
485.372345, 2.732730, 0.543204
490.086945, 2.807229, -1.326703
494.801544, 1.351710, -0.183621
499.516144, 1.211468, -1.876341
504.220734, 2.579467, 0.444888
508.935333, 2.171003, -1.612192
513.649902, 1.830033, 0.097772
518.364502, 1.058981, -1.989906
523.079102, 2.736831, 0.538123
527.783691, 2.810355, -1.327500
532.498291, 1.352155, -0.181534
537.212891, 1.215890, -1.876333
541.927490, 2.582824, 0.439162
546.642090, 2.158729, -1.612340
551.346680, 1.829752, 0.100119
556.061279, 1.063621, -1.990162
560.775879, 2.735583, 0.539673
565.490479, 2.800180, -1.324936
570.195068, 1.352585, -0.179467
574.909668, 1.220297, -1.876303
579.624268, 2.581775, 0.440899
584.338867, 2.162388, -1.612337
589.053467, 1.830542, 0.092385
593.758057, 1.068266, -1.990425
598.472656, 2.734336, 0.541230
603.187256, 2.803299, -1.325703
607.901855, 1.351148, -0.186251
612.606445, 1.224656, -1.876275
617.321045, 2.580771, 0.442657
622.035645, 2.166204, -1.612260
626.750244, 1.830284, 0.094730
631.464844, 1.053013, -1.989546
636.169434, 2.733072, 0.542775
640.884033, 2.806359, -1.326495
645.598633, 1.351596, -0.184173
650.313232, 1.210273, -1.876341
655.017822, 2.579740, 0.444403
659.732422, 2.169944, -1.612220
664.447021, 1.830090, 0.097104
669.161621, 1.057656, -1.989826
673.876221, 2.737188, 0.537674
678.580811, 2.809457, -1.327276
683.295410, 1.352032, -0.182119
688.010010, 1.214649, -1.876331
692.724609, 2.583099, 0.438649
697.429199, 2.173716, -1.612162
702.143799, 1.829867, 0.099461
706.858398, 1.062298, -1.990090
711.572998, 2.735936, 0.539225
716.287598, 2.799275, -1.324719
720.992188, 1.352467, -0.180047
725.706787, 1.219041, -1.876307
730.421387, 2.582070, 0.440394
735.135986, 2.161305, -1.612352
739.840576, 1.829679, 0.101835
744.555176, 1.066938, -1.990351
749.269775, 2.734689, 0.540780
753.984375, 2.802386, -1.325488
758.698975, 1.351020, -0.186831
763.403564, 1.223404, -1.876283
768.118164, 2.581060, 0.442149
772.832764, 2.165079, -1.612282
777.547363, 1.830363, 0.094041
782.251953, 1.071541, -1.990594
786.966553, 2.733438, 0.542319
791.681152, 2.805426, -1.326275
796.395752, 1.351467, -0.184764
801.110352, 1.208999, -1.876338
805.814941, 2.580032, 0.443884
810.529541, 2.168811, -1.612245
815.244141, 1.830174, 0.096416
819.958740, 1.056289, -1.989748
824.663330, 2.732182, 0.543870
829.377930, 2.808542, -1.327048
834.092529, 1.351906, -0.182721
838.807129, 1.213358, -1.876337
843.521729, 2.583401, 0.438136
848.226318, 2.172618, -1.612173
852.940918, 1.829922, 0.098763
857.655518, 1.060928, -1.990015
862.370117, 2.736313, 0.538771
867.074707, 2.811641, -1.327829
871.789307, 1.352337, -0.180673
876.503906, 1.217739, -1.876318
881.218506, 2.582380, 0.439884
885.933105, 2.160227, -1.612353
890.637695, 1.829727, 0.101131
895.352295, 1.065568, -1.990275
900.066895, 2.735065, 0.540325
904.781494, 2.801506, -1.325247
909.486084, 1.352762, -0.178632
914.200684, 1.222105, -1.876296
918.915283, 2.581372, 0.441640
923.629883, 2.164037, -1.612280
928.344482, 1.830386, 0.093346
933.049072, 1.070203, -1.990520
937.763672, 2.733812, 0.541877
942.478271, 2.804602, -1.326024
947.192871, 1.351331, -0.185400
951.907471, 1.207726, -1.876342
956.612061, 2.580345, 0.443389
961.326660, 2.167783, -1.612236
966.041260, 1.830192, 0.095718
970.755859, 1.054945, -1.989666
975.460449, 2.732551, 0.543428
980.175049, 2.807682, -1.326810
984.889648, 1.351773, -0.183334
989.604248, 1.212099, -1.876338
994.318848, 2.583693, 0.437631
