time,theta,omega
202.627914, -1.444017, 1.934713
207.345322, -2.513801, -0.417704
212.052734, -1.896076, 1.755129
216.770142, -2.126403, -0.220643
221.477554, -1.128100, 2.022040
226.194962, -2.765285, -0.565542
230.902374, -2.901647, 1.310183
235.619781, -1.394845, 0.231622
240.327194, -1.037686, 1.954086
245.044601, -2.799634, -0.576301
249.752014, -3.048032, 1.260365
254.469421, -1.589254, 0.298189
259.181671, -0.809326, 2.029519
263.896271, -2.976314, -0.694859
268.610870, 2.087795, 1.229066
273.315460, 2.601740, -1.405076
278.030060, 1.487304, -0.067387
282.744659, 1.052501, -1.960393
287.459259, 2.776858, 0.562824
292.163849, 2.944406, -1.295094
296.878448, 1.419617, -0.256656
301.593048, 1.000501, -1.964217
306.307648, 2.815792, 0.587382
311.022247, 3.136542, -1.225926
315.726837, 2.014921, -0.193019
320.441437, 0.701236, -2.097516
325.156036, 3.076514, 0.770040
329.870636, -0.949130, -1.705051
334.575226, -2.197428, 1.494852
339.289825, -1.788096, -0.068320
344.004425, -0.963123, 2.024477
348.719025, -2.865952, -0.625746
353.433624, 2.842448, 1.162863
358.138214, -0.114064, -1.948308
362.852814, -2.644046, 1.155347
367.567413, -1.423540, 0.180839
372.282013, -1.040120, 1.952675
376.986603, -2.775172, -0.568600
381.701202, -2.953057, 1.290305
386.415802, -1.429221, 0.264930
391.130402, -0.981596, 1.969175
395.845001, -2.829639, -0.594454
400.549591, 3.067067, 1.212890
405.264191, -2.598815, -0.122078
409.978790, -1.525098, 1.915226
414.693390, -2.436873, -0.376359
419.397980, -1.697293, 1.839261
424.112579, -2.292126, -0.305446
428.827179, -1.374249, 1.954003
433.541779, -2.555938, -0.442083
438.256378, -2.035223, 1.685927
442.960968, -1.981478, -0.163319
447.675568, -1.027309, 2.032419
452.390167, -2.825509, -0.603844
457.104767, 3.061245, 1.204998
461.809357, -2.752631, -0.226818
466.523956, -2.059802, 1.688355
471.238556, -1.974514, -0.157819
475.953156, -1.017574, 2.031914
480.667755, -2.829625, -0.603141
485.372345, 3.041362, 1.206925
490.086945, -2.897132, -0.325670
494.801544, -2.705168, 1.389801
499.516144, -1.425899, 0.114368
504.220734, -1.095239, 1.943267
508.935333, -2.744665, -0.547815
513.649902, -2.794970, 1.347883
518.364502, -1.388391, 0.167154
523.079102, -1.084111, 1.935092
527.783691, -2.736711, -0.543398
532.498291, -2.759967, 1.362968
537.212891, -1.400383, 0.143943
541.927490, -1.087407, 1.936736
546.642090, -2.741394, -0.537728
551.346680, -2.761811, 1.363221
556.061279, -1.400453, 0.143034
560.775879, -1.089689, 1.936801
565.490479, -2.740737, -0.538477
570.195068, -2.763233, 1.363650
574.909668, -1.400690, 0.141874
579.624268, -1.091939, 1.936898
584.338867, -2.740131, -0.539262
589.053467, -2.751308, 1.360884
593.758057, -1.400823, 0.140870
598.472656, -1.094202, 1.936974
603.187256, -2.739492, -0.540025
607.901855, -2.752818, 1.361274
612.606445, -1.401020, 0.139765
617.321045, -1.096460, 1.937059
622.035645, -2.738866, -0.540798
626.750244, -2.754413, 1.361629
631.464844, -1.399710, 0.147821
636.169434, -1.098719, 1.937136
640.884033, -2.738236, -0.541569
645.598633, -2.755987, 1.361992
650.313232, -1.399890, 0.146750
655.017822, -1.100974, 1.937213
659.732422, -2.737619, -0.542346
664.447021, -2.757618, 1.362334
669.161621, -1.400051, 0.145712
673.876221, -1.083862, 1.936579
678.580811, -2.736997, -0.543120
683.295410, -2.759240, 1.362681
688.010010, -1.400211, 0.144668
692.724609, -1.086130, 1.936666
697.429199, -2.736351, -0.543882
702.143799, -2.760748, 1.363074
706.858398, -1.400413, 0.143557
711.572998, -1.088382, 1.936761
716.287598, -2.741109, -0.538043
720.992188, -2.762377, 1.363420
725.706787, -1.400569, 0.142520
730.421387, -1.090642, 1.936844
735.135986, -2.740480, -0.538811
739.840576, -2.763939, 1.363793
744.555176, -1.400748, 0.141443
749.269775, -1.092898, 1.936930
753.984375, -2.739859, -0.539586
758.698975, -2.751938, 1.361053
763.403564, -1.400912, 0.140394
768.118164, -1.095177, 1.937004
772.832764, -2.739203, -0.540324
777.547363, -2.753322, 1.361482
782.251953, -1.401147, 0.139239
786.966553, -1.097373, 1.937105
791.681152, -2.738631, -0.541131
796.395752, -2.755175, 1.361732
801.110352, -1.399737, 0.147448
805.814941, -1.099650, 1.937160
810.529541, -2.737982, -0.541887
815.244141, -2.756660, 1.362132
819.958740, -1.399953, 0.146322
824.663330, -1.101897, 1.937243
829.377930, -2.737364, -0.542666
834.092529, -2.758299, 1.362470
838.807129, -1.400108, 0.145290
843.521729, -1.084791, 1.936615
848.226318, -2.736728, -0.543433
852.940918, -2.759846, 1.362848
857.655518, -1.400297, 0.144203
862.370117, -1.087054, 1.936705
867.074707, -2.736102, -0.544206
871.789307, -2.761460, 1.363198
876.503906, -1.400464, 0.143156
881.218506, -1.089309, 1.936794
885.933105, -2.740849, -0.538359
890.637695, -2.763023, 1.363571
895.352295, -1.400643, 0.142079
900.066895, -1.091570, 1.936881
904.781494, -2.740227, -0.539132
909.486084, -2.764616, 1.363932
914.200684, -1.400810, 0.141020
918.915283, -1.093830, 1.936963
923.629883, -2.739597, -0.539901
928.344482, -2.752570, 1.361209
933.049072, -1.400989, 0.139946
937.763672, -1.096088, 1.937045
942.478271, -2.738976, -0.540676
947.192871, -2.754179, 1.361560
951.907471, -1.399671, 0.148012
956.612061, -1.098339, 1.937125
961.326660, -2.738350, -0.541448
966.041260, -2.755768, 1.361918
970.755859, -1.399844, 0.146947
975.460449, -1.100599, 1.937200
980.175049, -2.737723, -0.542220
984.889648, -2.757360, 1.362275
989.604248, -1.400018, 0.145887
994.318848, -1.083491, 1.936564
