time,theta,omega
202.627914, -1.056865, 1.953090
207.345322, -2.794636, -0.574350
212.052734, -3.014910, 1.274296
216.770142, -1.518897, 0.289823
221.477554, -0.857200, 2.016795
226.194962, -2.961768, -0.684726
230.902374, 2.212397, 1.209073
235.619781, 2.834692, -1.314002
240.327194, 1.395364, -0.194551
245.044601, 1.031805, -1.955192
249.752014, 2.803496, 0.584550
254.469421, 3.069638, -1.252117
259.181671, 1.676578, -0.289026
263.896271, 0.732195, -2.054777
268.610870, 3.048360, 0.743555
273.315460, -1.384447, -1.522044
278.030060, -2.103582, 1.587977
282.744659, -1.899273, -0.115784
287.459259, -0.960604, 2.038716
292.163849, -2.873281, -0.639431
296.878448, 2.767256, 1.164786
301.593048, -0.945175, -1.707972
306.307648, -2.173108, 1.505350
311.022247, -1.808686, -0.069629
315.726837, -0.954437, 2.033791
320.441437, -2.886891, -0.643751
325.156036, 2.702882, 1.157063
329.870636, -1.548023, -1.435641
334.575226, -2.127295, 1.592730
339.289825, -1.889105, -0.116599
344.004425, -0.966150, 2.038639
348.719025, -2.878234, -0.636062
353.433624, 2.770072, 1.158210
358.138214, -0.987361, -1.693858
362.852814, -2.161818, 1.518694
367.567413, -1.826194, -0.081159
372.282013, -0.943115, 2.034254
376.986603, -2.883975, -0.645577
381.701202, 2.702241, 1.160744
386.415802, -1.517581, -1.453126
391.130402, -2.110673, 1.593891
395.845001, -1.894418, -0.111761
400.549591, -0.974344, 2.039552
405.264191, -2.875376, -0.637731
409.978790, 2.769837, 1.161854
414.693390, -0.959629, -1.699110
419.397980, -2.180285, 1.507576
424.112579, -1.811774, -0.078278
428.827179, -0.948628, 2.033583
433.541779, -2.888742, -0.642030
438.256378, 2.706647, 1.154047
442.960968, -1.535782, -1.448660
447.675568, -2.121903, 1.592997
452.390167, -1.889883, -0.113742
457.104767, -0.960121, 2.038095
461.809357, -2.873730, -0.640078
466.523956, 2.762371, 1.164889
471.238556, -0.988536, -1.690450
475.953156, -2.158540, 1.517840
480.667755, -1.825019, -0.077495
485.372345, -0.957145, 2.035480
490.086945, -2.885988, -0.643885
494.801544, 2.705273, 1.157696
499.516144, -1.525247, -1.446439
504.220734, -2.122596, 1.593393
508.935333, -1.893088, -0.118584
513.649902, -0.968075, 2.038999
518.364502, -2.877397, -0.636088
523.079102, 2.772452, 1.158963
527.783691, -0.956151, -1.707317
532.498291, -2.172843, 1.510204
537.212891, -1.815158, -0.076714
541.927490, -0.942895, 2.033314
546.642090, -2.890541, -0.640309
551.346680, 2.699019, 1.161146
556.061279, -1.536542, -1.445129
560.775879, -2.116256, 1.593300
565.490479, -1.890880, -0.111006
570.195068, -0.974602, 2.039437
574.909668, -2.875525, -0.638302
579.624268, 2.766391, 1.162109
584.338867, -0.987727, -1.687903
589.053467, -2.155956, 1.516457
593.758057, -1.822424, -0.083636
598.472656, -0.950850, 2.034723
603.187256, -2.887987, -0.642215
607.901855, 2.708185, 1.154684
612.606445, -1.518953, -1.456810
617.321045, -2.118753, 1.593480
622.035645, -1.892771, -0.115363
626.750244, -0.961891, 2.038371
631.464844, -2.879320, -0.634350
636.169434, 2.764233, 1.165594
640.884033, -0.962470, -1.701816
645.598633, -2.167877, 1.510768
650.313232, -1.815822, -0.073894
655.017822, -0.957169, 2.034703
659.732422, -2.886043, -0.644308
664.447021, 2.702632, 1.158127
669.161621, -1.539748, -1.440459
673.876221, -2.111195, 1.593508
678.580811, -1.890316, -0.118111
683.295410, -0.968526, 2.038905
688.010010, -2.877406, -0.636546
692.724609, 2.770014, 1.159268
697.429199, -0.974384, -1.700249
702.143799, -2.167094, 1.515519
706.858398, -1.822087, -0.080358
711.572998, -0.944671, 2.034084
716.287598, -2.889939, -0.640507
720.992188, 2.699929, 1.161713
725.706787, -1.524721, -1.450992
730.421387, -2.114300, 1.593624
735.135986, -1.892857, -0.112256
739.840576, -0.976090, 2.039644
744.555176, -2.874924, -0.638430
749.269775, 2.767512, 1.162723
753.984375, -0.969638, -1.695941
758.698975, -2.162617, 1.511572
763.403564, -1.816085, -0.081285
768.118164, -0.951140, 2.034214
772.832764, -2.887934, -0.642564
777.547363, 2.706310, 1.155099
782.251953, -1.528241, -1.453132
786.966553, -2.121953, 1.593153
791.681152, -1.890927, -0.115182
796.395752, -0.962437, 2.038357
801.110352, -2.879276, -0.634773
805.814941, 2.762161, 1.165925
810.529541, -0.977115, -1.696196
815.244141, -2.163306, 1.515084
819.958740, -1.821460, -0.076936
824.663330, -0.958761, 2.035342
829.377930, -2.885519, -0.644525
834.092529, 2.703167, 1.158661
838.807129, -1.530932, -1.444950
843.521729, -2.109943, 1.593744
848.226318, -1.891750, -0.119142
852.940918, -0.969850, 2.039085
857.655518, -2.876893, -0.636709
862.370117, 2.770697, 1.159832
867.074707, -0.960933, -1.706282
871.789307, -2.172101, 1.511953
876.503906, -1.817455, -0.078766
881.218506, -0.945130, 2.033738
885.933105, -2.889827, -0.640843
890.637695, 2.698376, 1.162152
895.352295, -1.531497, -1.448450
900.066895, -2.116897, 1.593365
904.781494, -1.891456, -0.112238
909.486084, -0.976742, 2.039652
914.200684, -2.874815, -0.638818
918.915283, 2.765799, 1.163080
923.629883, -0.980611, -1.691831
928.344482, -2.159293, 1.514857
933.049072, -1.820359, -0.083717
937.763672, -0.952595, 2.034723
942.478271, -2.887461, -0.642808
947.192871, 2.706547, 1.155637
951.907471, -1.535854, -1.439498
956.612061, -2.121238, 1.593318
961.326660, -1.891988, -0.116093
966.041260, -0.963713, 2.038518
970.755859, -2.878802, -0.634970
975.460449, 2.762536, 1.166475
980.175049, -0.966594, -1.701048
984.889648, -2.167365, 1.512327
989.604248, -1.817881, -0.075836
994.318848, -0.939038, 2.033159
