time,theta,omega
202.627914, 1.447009, -0.067683
207.345322, 1.223428, -1.880121
212.052734, 2.557772, 0.428832
216.770142, 2.112048, -1.627555
221.477554, 1.859327, 0.111331
226.194962, 1.099013, -1.974501
230.902374, 2.681259, 0.507847
235.619781, 2.590417, -1.405945
240.327194, 1.447296, -0.067657
245.044601, 1.222917, -1.880232
249.752014, 2.558016, 0.428809
254.469421, 2.112359, -1.627289
259.181671, 1.856031, 0.107080
263.896271, 1.112462, -1.968836
268.610870, 2.663446, 0.490202
273.315460, 2.521829, -1.439616
278.030060, 1.500584, -0.038410
282.744659, 1.206458, -1.893047
287.459259, 2.569109, 0.430386
292.163849, 2.166992, -1.605158
296.878448, 1.811858, 0.092757
301.593048, 1.113864, -1.964556
306.307648, 2.662568, 0.491364
311.022247, 2.510377, -1.438779
315.726837, 1.501028, -0.035957
320.441437, 1.210665, -1.893171
325.156036, 2.568297, 0.432270
329.870636, 2.155319, -1.605083
334.575226, 1.811078, 0.094899
339.289825, 1.118437, -1.964660
344.004425, 2.661406, 0.492992
348.719025, 2.513619, -1.439147
353.433624, 1.500780, -0.043395
358.138214, 1.215041, -1.893198
362.852814, 2.567341, 0.434065
367.567413, 2.159217, -1.604944
372.282013, 1.811604, 0.087072
376.986603, 1.123012, -1.964807
381.701202, 2.660253, 0.494635
386.415802, 2.516951, -1.439466
391.130402, 1.500899, -0.041118
395.845001, 1.200514, -1.893167
400.549591, 2.566331, 0.435824
405.264191, 2.162932, -1.604884
409.978790, 1.811421, 0.089437
414.693390, 1.107944, -1.964235
419.397980, 2.659113, 0.496278
424.112579, 2.520297, -1.439791
428.827179, 1.501016, -0.038837
433.541779, 1.204905, -1.893196
438.256378, 2.569639, 0.430019
442.960968, 2.166732, -1.604792
447.675568, 1.811173, 0.091782
452.390167, 1.112504, -1.964419
457.104767, 2.662881, 0.490862
461.809357, 2.523696, -1.440093
466.523956, 1.501076, -0.036579
471.238556, 1.209342, -1.893196
475.953156, 2.568629, 0.431779
480.667755, 2.154368, -1.605037
485.372345, 1.811018, 0.094165
490.086945, 1.117099, -1.964597
494.801544, 2.661732, 0.492506
499.516144, 2.512625, -1.439061
504.220734, 1.501202, -0.034293
508.935333, 1.213730, -1.893210
513.649902, 2.567677, 0.433598
518.364502, 2.158355, -1.604881
523.079102, 1.811499, 0.086352
527.783691, 1.121744, -1.964742
532.498291, 2.660564, 0.494169
537.212891, 2.515971, -1.439407
541.927490, 1.500921, -0.041718
546.642090, 1.199253, -1.893183
551.346680, 2.566645, 0.435361
556.061279, 2.162024, -1.604847
560.775879, 1.811370, 0.088745
565.490479, 1.106677, -1.964172
570.195068, 2.659421, 0.495823
574.909668, 2.519351, -1.439713
579.624268, 1.501000, -0.039453
584.338867, 1.203678, -1.893198
589.053467, 2.569935, 0.429543
