time,theta,omega
202.627914, 2.588428, 0.447547
207.345322, 2.254014, -1.552586
212.052734, 1.713187, 0.055608
216.770142, 1.151281, -1.933247
221.477554, 2.605873, 0.458555
226.194962, 2.317904, -1.522519
230.902374, 1.656542, 0.033599
235.619781, 1.167114, -1.920750
240.327194, 2.589989, 0.448356
245.044601, 2.259104, -1.550071
249.752014, 1.708453, 0.053621
254.469421, 1.152032, -1.932287
259.181671, 2.601775, 0.453140
263.896271, 2.310177, -1.524594
268.610870, 1.655962, 0.026620
273.315460, 1.191645, -1.915118
278.030060, 2.569507, 0.435282
282.744659, 2.201425, -1.576447
287.459259, 1.753735, 0.065214
292.163849, 1.170927, -1.935361
296.878448, 2.592786, 0.451401
301.593048, 2.287958, -1.536697
306.307648, 1.678653, 0.037796
311.022247, 1.169793, -1.920238
315.726837, 2.575493, 0.441418
320.441437, 2.229390, -1.565025
325.156036, 1.732066, 0.059421
329.870636, 1.159426, -1.931242
334.575226, 2.587936, 0.450601
339.289825, 2.277535, -1.543299
344.004425, 1.690964, 0.044932
348.719025, 1.170820, -1.923050
353.433624, 2.582282, 0.437828
358.138214, 2.245166, -1.559322
362.852814, 1.721187, 0.057695
367.567413, 1.165957, -1.929304
372.282013, 2.589133, 0.443432
376.986603, 2.273144, -1.547065
381.701202, 1.697946, 0.050012
386.415802, 1.173470, -1.924638
391.130402, 2.583120, 0.440755
395.845001, 2.239748, -1.556279
400.549591, 1.715283, 0.057844
405.264191, 1.171651, -1.928250
409.978790, 2.586825, 0.444337
414.693390, 2.256642, -1.549194
419.397980, 1.701920, 0.053932
424.112579, 1.176924, -1.925577
428.827179, 2.583157, 0.443182
433.541779, 2.247132, -1.554511
438.256378, 1.712331, 0.048799
442.960968, 1.176863, -1.927660
447.675568, 2.585045, 0.445595
452.390167, 2.257546, -1.550473
457.104767, 1.704664, 0.047077
461.809357, 1.180845, -1.926137
466.523956, 2.582720, 0.445306
471.238556, 2.252874, -1.553517
475.953156, 1.710356, 0.050451
480.667755, 1.162497, -1.927018
485.372345, 2.583575, 0.447061
490.086945, 2.259588, -1.551220
494.801544, 1.705960, 0.049978
499.516144, 1.165750, -1.926181
504.220734, 2.582021, 0.447268
508.935333, 2.257700, -1.552955
513.649902, 1.709199, 0.052440
518.364502, 1.167286, -1.926899
523.079102, 2.586696, 0.441183
527.783691, 2.262379, -1.551632
532.498291, 1.706622, 0.052668
537.212891, 1.170128, -1.926423
541.927490, 2.585568, 0.441663
546.642090, 2.246469, -1.552652
551.346680, 1.708510, 0.054594
556.061279, 1.171921, -1.926861
560.775879, 2.585523, 0.442837
565.490479, 2.249970, -1.551859
570.195068, 1.706958, 0.055202
574.909668, 1.174508, -1.926593
579.624268, 2.584655, 0.443482
584.338867, 2.250504, -1.552461
589.053467, 1.708492, 0.046673
593.758057, 1.176493, -1.926858
598.472656, 2.584416, 0.444532
603.187256, 2.253293, -1.552003
607.901855, 1.707575, 0.047528
612.606445, 1.178942, -1.926713
617.321045, 2.583701, 0.445274
622.035645, 2.254367, -1.552349
626.750244, 1.708179, 0.048961
631.464844, 1.161776, -1.926543
636.169434, 2.583334, 0.446245
640.884033, 2.256716, -1.552099
645.598633, 1.707651, 0.049962
650.313232, 1.164125, -1.926496
655.017822, 2.582705, 0.447046
659.732422, 2.258124, -1.552289
664.447021, 1.707949, 0.051282
669.161621, 1.166301, -1.926611
673.876221, 2.586667, 0.440474
678.580811, 2.260210, -1.552160
683.295410, 1.707652, 0.052370
688.010010, 1.168603, -1.926604
692.724609, 2.586099, 0.441311
697.429199, 2.261802, -1.552265
702.143799, 1.707791, 0.053626
706.858398, 1.170802, -1.926685
711.572998, 2.585640, 0.442218
716.287598, 2.248275, -1.552167
720.992188, 1.707570, 0.054746
725.706787, 1.173080, -1.926691
730.421387, 2.585094, 0.443068
735.135986, 2.249961, -1.552227
739.840576, 1.707619, 0.055966
744.555176, 1.175301, -1.926749
749.269775, 2.584613, 0.443963
753.984375, 2.251892, -1.552171
758.698975, 1.707923, 0.046968
763.403564, 1.177579, -1.926759
768.118164, 2.584059, 0.444812
772.832764, 2.253539, -1.552237
777.547363, 1.707999, 0.048184
782.251953, 1.179763, -1.926818
786.966553, 2.583590, 0.445700
791.681152, 2.255490, -1.552172
796.395752, 1.707821, 0.049320
801.110352, 1.162771, -1.926496
805.814941, 2.583041, 0.446553
810.529541, 2.257165, -1.552237
815.244141, 1.707888, 0.050549
819.958740, 1.164999, -1.926566
824.663330, 2.582547, 0.447441
829.377930, 2.259066, -1.552198
834.092529, 1.707754, 0.051703
838.807129, 1.167253, -1.926596
843.521729, 2.586418, 0.440809
848.226318, 2.260806, -1.552230
852.940918, 1.707762, 0.052906
857.655518, 1.169489, -1.926650
862.370117, 2.585932, 0.441697
867.074707, 2.262713, -1.552189
871.789307, 1.707618, 0.054056
876.503906, 1.171757, -1.926671
881.218506, 2.585391, 0.442555
885.933105, 2.248889, -1.552229
890.637695, 1.707659, 0.055275
895.352295, 1.173983, -1.926728
900.066895, 2.584910, 0.443446
904.781494, 2.250808, -1.552177
909.486084, 1.707505, 0.056417
914.200684, 1.176246, -1.926745
918.915283, 2.584376, 0.444309
923.629883, 2.252539, -1.552216
928.344482, 1.707989, 0.047487
933.049072, 1.178479, -1.926791
937.763672, 2.583880, 0.445192
942.478271, 2.254422, -1.552185
947.192871, 1.707876, 0.048648
951.907471, 1.161480, -1.926473
956.612061, 2.583344, 0.446054
961.326660, 2.256154, -1.552222
966.041260, 1.707892, 0.049858
970.755859, 1.163708, -1.926535
975.460449, 2.582839, 0.446935
980.175049, 2.258004, -1.552205
984.889648, 1.707802, 0.051026
989.604248, 1.165956, -1.926575
994.318848, 2.586728, 0.440314
