time,theta,omega
202.627914, 2.335445, 0.309449
207.345322, 1.718821, -1.759067
212.052734, 2.093433, 0.200970
216.770142, 1.404726, -1.864988
221.477554, 2.335312, 0.309299
226.194962, 1.718393, -1.759189
230.902374, 2.093668, 0.200983
235.619781, 1.404742, -1.864951
240.327194, 2.335210, 0.309166
245.044601, 1.718007, -1.759292
249.752014, 2.093874, 0.200980
254.469421, 1.404745, -1.864918
259.181671, 2.332225, 0.304797
263.896271, 1.724756, -1.754692
268.610870, 2.080938, 0.188464
273.315460, 1.418431, -1.860546
278.030060, 2.323165, 0.301774
282.744659, 1.711325, -1.760675
287.459259, 2.093126, 0.194729
292.163849, 1.430245, -1.858129
296.878448, 2.315837, 0.299522
301.593048, 1.701175, -1.765324
306.307648, 2.102653, 0.199920
311.022247, 1.421813, -1.856717
315.726837, 2.309682, 0.297831
320.441437, 1.693235, -1.769078
325.156036, 2.110403, 0.204384
329.870636, 1.430763, -1.854898
334.575226, 2.304385, 0.296545
339.289825, 1.686897, -1.772191
344.004425, 2.116853, 0.208316
348.719025, 1.438806, -1.853269
353.433624, 2.302605, 0.286684
358.138214, 1.681755, -1.774827
362.852814, 2.122334, 0.211848
367.567413, 1.446110, -1.851804
372.282013, 2.298485, 0.285950
376.986603, 1.677577, -1.777084
381.701202, 2.127051, 0.215061
386.415802, 1.452852, -1.850459
391.130402, 2.294759, 0.285394
395.845001, 1.656296, -1.780164
400.549591, 2.131181, 0.218026
405.264191, 1.459100, -1.849240
409.978790, 2.291393, 0.285020
414.693390, 1.653433, -1.781902
419.397980, 2.134831, 0.220793
424.112579, 1.464993, -1.848099
428.827179, 2.288299, 0.284774
433.541779, 1.651060, -1.783450
438.256378, 2.140214, 0.213896
442.960968, 1.470522, -1.847048
447.675568, 2.285462, 0.284650
452.390167, 1.649136, -1.784824
457.104767, 2.143131, 0.216360
461.809357, 1.475778, -1.846063
466.523956, 2.282820, 0.284620
471.238556, 1.647540, -1.786073
475.953156, 2.145786, 0.218714
480.667755, 1.462347, -1.845923
485.372345, 2.280356, 0.284673
490.086945, 1.646253, -1.787201
494.801544, 2.148182, 0.220961
499.516144, 1.467164, -1.845067
504.220734, 2.278043, 0.284800
508.935333, 1.645217, -1.788233
513.649902, 2.150409, 0.223154
518.364502, 1.471883, -1.844245
523.079102, 2.278601, 0.276026
527.783691, 1.644442, -1.789183
532.498291, 2.152420, 0.225243
537.212891, 1.476361, -1.843474
541.927490, 2.276544, 0.276269
546.642090, 1.625943, -1.791115
551.346680, 2.154266, 0.227252
556.061279, 1.480667, -1.842744
560.775879, 2.274609, 0.276571
565.490479, 1.625529, -1.791916
570.195068, 2.155964, 0.229199
574.909668, 1.484876, -1.842037
579.624268, 2.272757, 0.276909
584.338867, 1.625262, -1.792658
589.053467, 2.159762, 0.221660
593.758057, 1.488950, -1.841366
598.472656, 2.270989, 0.277292
603.187256, 1.625141, -1.793344
607.901855, 2.161239, 0.223514
612.606445, 1.492919, -1.840718
617.321045, 2.269300, 0.277711
622.035645, 1.625143, -1.793988
626.750244, 2.162627, 0.225326
631.464844, 1.478384, -1.840920
636.169434, 2.267686, 0.278165
640.884033, 1.625273, -1.794581
645.598633, 2.163907, 0.227096
650.313232, 1.482176, -1.840337
655.017822, 2.266133, 0.278648
659.732422, 1.625505, -1.795134
664.447021, 2.165102, 0.228826
669.161621, 1.485891, -1.839772
673.876221, 2.267339, 0.270127
678.580811, 1.625832, -1.795654
683.295410, 2.166219, 0.230524
688.010010, 1.489523, -1.839228
692.724609, 2.265909, 0.270667
697.429199, 1.626240, -1.796141
702.143799, 2.167277, 0.232195
706.858398, 1.493095, -1.838699
711.572998, 2.264527, 0.271227
716.287598, 1.608773, -1.797643
720.992188, 2.168247, 0.233829
725.706787, 1.496591, -1.838189
730.421387, 2.263192, 0.271812
735.135986, 1.609338, -1.798080
739.840576, 2.169175, 0.235445
