time,theta,omega
202.627914, 1.679815, 0.038996
207.345322, 1.051860, -1.974534
212.052734, 2.744165, 0.546867
216.770142, 2.833877, -1.315426
221.477554, 1.354177, -0.197554
226.194962, 1.182837, -1.888340
230.902374, 2.618215, 0.465154
235.619781, 2.283233, -1.558395
240.327194, 1.732186, 0.060185
245.044601, 1.040927, -1.984200
249.752014, 2.755449, 0.554517
254.469421, 2.889753, -1.293974
259.181671, 1.360260, -0.238955
263.896271, 1.163114, -1.894105
268.610870, 2.627553, 0.463820
273.315460, 2.327495, -1.540403
278.030060, 1.692660, 0.043099
282.744659, 1.064792, -1.972014
287.459259, 2.728687, 0.531707
292.163849, 2.766258, -1.346560
296.878448, 1.366889, -0.152673
301.593048, 1.211121, -1.881429
306.307648, 2.591343, 0.445061
311.022247, 2.186925, -1.600430
315.726837, 1.807466, 0.091605
320.441437, 1.057802, -1.990138
325.156036, 2.742678, 0.544422
329.870636, 2.831271, -1.314063
334.575226, 1.351639, -0.198474
339.289825, 1.205035, -1.882217
344.004425, 2.597739, 0.450822
348.719025, 2.216570, -1.588283
353.433624, 1.784836, 0.074583
358.138214, 1.062335, -1.987527
362.852814, 2.740309, 0.544936
367.567413, 2.828226, -1.317283
372.282013, 1.350295, -0.201123
376.986603, 1.211575, -1.881549
381.701202, 2.594946, 0.451542
386.415802, 2.214016, -1.591199
391.130402, 1.790284, 0.079176
395.845001, 1.046993, -1.987372
400.549591, 2.739411, 0.546778
405.264191, 2.833213, -1.317355
409.978790, 1.350674, -0.200362
414.693390, 1.196484, -1.881752
419.397980, 2.594428, 0.453567
424.112579, 2.219591, -1.590318
428.827179, 1.788427, 0.080876
433.541779, 1.051642, -1.987437
438.256378, 2.743463, 0.541622
442.960968, 2.835768, -1.318385
447.675568, 1.351171, -0.197983
452.390167, 1.201061, -1.881703
457.104767, 2.597705, 0.447789
461.809357, 2.222769, -1.590556
466.523956, 1.788728, 0.083433
471.238556, 1.056280, -1.987766
475.953156, 2.742222, 0.543185
480.667755, 2.825771, -1.315629
485.372345, 1.351638, -0.196008
490.086945, 1.205412, -1.881714
494.801544, 2.596688, 0.449536
499.516144, 2.210651, -1.590554
504.220734, 1.788473, 0.085766
508.935333, 1.060903, -1.988020
513.649902, 2.740997, 0.544768
518.364502, 2.829102, -1.316376
523.079102, 1.350071, -0.202832
527.783691, 1.209774, -1.881727
532.498291, 2.595707, 0.451331
537.212891, 2.214669, -1.590420
541.927490, 1.788822, 0.077927
546.642090, 1.045735, -1.987100
551.346680, 2.739673, 0.546279
556.061279, 2.831913, -1.317304
560.775879, 1.350563, -0.200623
565.490479, 1.195432, -1.881704
570.195068, 2.594590, 0.453019
574.909668, 2.218119, -1.590534
579.624268, 1.788887, 0.080390
584.338867, 1.050376, -1.987412
589.053467, 2.743827, 0.541217
593.758057, 2.835026, -1.318117
598.472656, 1.351037, -0.198613
603.187256, 1.199811, -1.881717
607.901855, 2.598021, 0.447331
612.606445, 2.221859, -1.590509
617.321045, 1.788678, 0.082744
622.035645, 1.055006, -1.987679
626.750244, 2.742567, 0.542756
631.464844, 2.824914, -1.315408
636.169434, 1.351510, -0.196560
640.884033, 1.204209, -1.881714
645.598633, 2.596980, 0.449061
650.313232, 2.209648, -1.590547
655.017822, 1.788505, 0.085111
659.732422, 1.059633, -1.987946
664.447021, 2.741309, 0.544302
669.161621, 2.828001, -1.316223
673.876221, 1.349941, -0.203276
678.580811, 1.208588, -1.881708
683.295410, 2.595946, 0.450798
688.010010, 2.213385, -1.590525
692.724609, 1.789062, 0.077323
697.429199, 1.064273, -1.988194
702.143799, 2.740046, 0.545845
706.858398, 2.831077, -1.317048
711.572998, 1.350424, -0.201240
716.287598, 1.194161, -1.881702
720.992188, 2.594899, 0.452527
725.706787, 2.217075, -1.590525
730.421387, 1.788915, 0.079700
735.135986, 1.049037, -1.987332
739.840576, 2.738784, 0.547388
744.555176, 2.834162, -1.317870
749.269775, 1.350901, -0.199213
753.984375, 1.198539, -1.881719
758.698975, 2.598337, 0.446842
763.403564, 2.220855, -1.590482
768.118164, 1.788670, 0.082038
772.832764, 1.053653, -1.987591
777.547363, 2.742921, 0.542294
782.251953, 2.837105, -1.318740
786.966553, 1.351377, -0.197116
791.681152, 1.202934, -1.881713
796.395752, 2.597273, 0.448546
801.110352, 2.208516, -1.590570
805.814941, 1.788599, 0.084429
810.529541, 1.058265, -1.987876
815.244141, 2.741689, 0.543854
819.958740, 2.827142, -1.315964
824.663330, 1.351838, -0.195167
829.377930, 1.207273, -1.881719
834.092529, 2.596273, 0.450299
838.807129, 2.212357, -1.590498
843.521729, 1.789059, 0.076605
848.226318, 1.062895, -1.988117
852.940918, 2.740420, 0.545390
857.655518, 2.830179, -1.316803
862.370117, 1.350285, -0.201843
867.074707, 1.211677, -1.881699
871.789307, 2.595209, 0.452019
876.503906, 2.216008, -1.590515
881.218506, 1.788940, 0.078994
885.933105, 1.047673, -1.987243
890.637695, 2.739150, 0.546931
895.352295, 2.833235, -1.317637
900.066895, 1.350765, -0.199796
904.781494, 1.197248, -1.881715
909.486084, 2.594172, 0.453754
914.200684, 2.219747, -1.590493
918.915283, 1.788739, 0.081349
923.629883, 1.052300, -1.987520
928.344482, 2.743301, 0.541863
933.049072, 2.836301, -1.318468
937.763672, 1.351239, -0.197757
942.478271, 1.201641, -1.881719
947.192871, 2.597590, 0.448057
951.907471, 2.207504, -1.590546
956.612061, 1.788604, 0.083731
961.326660, 1.056937, -1.987793
966.041260, 2.742044, 0.543405
970.755859, 2.826215, -1.315745
975.460449, 1.351704, -0.195720
980.175049, 1.206041, -1.881712
984.889648, 2.596550, 0.449787
989.604248, 2.211209, -1.590539
994.318848, 1.789174, 0.075951
