time,theta,omega
202.627914, 2.162559, 0.231147
207.345322, 1.455628, -1.855435
212.052734, 2.306777, 0.296865
216.770142, 1.655332, -1.787066
221.477554, 2.152119, 0.226517
226.194962, 1.444419, -1.858651
230.902374, 2.315086, 0.300727
235.619781, 1.669527, -1.781589
240.327194, 2.140728, 0.221506
245.044601, 1.432705, -1.861927
249.752014, 2.323724, 0.304761
254.469421, 1.684647, -1.775693
259.181671, 2.125733, 0.212146
263.896271, 1.431860, -1.859360
268.610870, 2.316555, 0.294092
273.315460, 1.692315, -1.774000
278.030060, 2.121707, 0.211989
282.744659, 1.430895, -1.860095
287.459259, 2.318532, 0.296217
292.163849, 1.698398, -1.772312
296.878448, 2.118265, 0.211745
301.593048, 1.430152, -1.860795
306.307648, 2.320337, 0.298265
311.022247, 1.686500, -1.771820
315.726837, 2.115016, 0.211586
320.441437, 1.429616, -1.861436
325.156036, 2.321992, 0.300242
329.870636, 1.692094, -1.770323
334.575226, 2.111970, 0.211516
339.289825, 1.429291, -1.862014
344.004425, 2.323482, 0.302140
348.719025, 1.697426, -1.768921
353.433624, 2.111139, 0.201942
358.138214, 1.429179, -1.862531
362.852814, 2.324816, 0.303966
367.567413, 1.702485, -1.767618
372.282013, 2.108510, 0.202049
376.986603, 1.429266, -1.862993
381.701202, 2.325999, 0.305716
386.415802, 1.707306, -1.766401
391.130402, 2.106056, 0.202225
395.845001, 1.410875, -1.864042
400.549591, 2.327046, 0.307396
405.264191, 1.711849, -1.765295
409.978790, 2.103830, 0.202509
414.693390, 1.411348, -1.864406
419.397980, 2.327938, 0.309008
424.112579, 1.716164, -1.764274
428.827179, 2.101796, 0.202872
433.541779, 1.412004, -1.864720
438.256378, 2.331701, 0.301790
442.960968, 1.720218, -1.763351
447.675568, 2.099959, 0.203321
452.390167, 1.412828, -1.864987
457.104767, 2.332346, 0.303286
461.809357, 1.724068, -1.762508
466.523956, 2.098289, 0.203840
471.238556, 1.413805, -1.865216
475.953156, 2.332878, 0.304727
480.667755, 1.710087, -1.762864
485.372345, 2.096775, 0.204426
490.086945, 1.414922, -1.865406
494.801544, 2.333301, 0.306117
499.516144, 1.713547, -1.762184
504.220734, 2.095415, 0.205077
508.935333, 1.416182, -1.865560
513.649902, 2.333638, 0.307490
518.364502, 1.716920, -1.761552
523.079102, 2.096121, 0.196173
527.783691, 1.417571, -1.865693
532.498291, 2.333863, 0.308793
537.212891, 1.720052, -1.760994
541.927490, 2.095031, 0.196935
546.642090, 1.400381, -1.866392
551.346680, 2.334026, 0.310058
556.061279, 1.723056, -1.760486
560.775879, 2.094049, 0.197742
565.490479, 1.401934, -1.866482
570.195068, 2.334118, 0.311290
574.909668, 1.725933, -1.760029
579.624268, 2.093152, 0.198590
584.338867, 1.403569, -1.866548
589.053467, 2.337196, 0.303758
593.758057, 1.728716, -1.759604
598.472656, 2.092350, 0.199471
603.187256, 1.405285, -1.866593
607.901855, 2.337181, 0.304939
612.606445, 1.731384, -1.759226
617.321045, 2.091621, 0.200388
622.035645, 1.407048, -1.866625
626.750244, 2.337128, 0.306102
631.464844, 1.716383, -1.759994
636.169434, 2.090954, 0.201328
640.884033, 1.408878, -1.866642
645.598633, 2.337027, 0.307241
650.313232, 1.718903, -1.759683
655.017822, 2.090345, 0.202294
659.732422, 1.410752, -1.866643
664.447021, 2.336893, 0.308366
669.161621, 1.721358, -1.759393
673.876221, 2.091727, 0.193635
678.580811, 1.412669, -1.866632
683.295410, 2.336728, 0.309473
688.010010, 1.723756, -1.759128
692.724609, 2.091230, 0.194647
697.429199, 1.414620, -1.866612
702.143799, 2.336535, 0.310569
706.858398, 1.726108, -1.758879
711.572998, 2.090775, 0.195675
716.287598, 1.397931, -1.867185
720.992188, 2.336321, 0.311656
725.706787, 1.728429, -1.758639
730.421387, 2.090324, 0.196707
735.135986, 1.399931, -1.867164
739.840576, 2.336092, 0.312733
744.555176, 1.730716, -1.758414
749.269775, 2.089913, 0.197755
753.984375, 1.401957, -1.867136
758.698975, 2.338896, 0.305073
763.403564, 1.732981, -1.758194
768.118164, 2.089513, 0.198806
772.832764, 1.403981, -1.867099
777.547363, 2.338632, 0.306122
782.251953, 1.735157, -1.758002
786.966553, 2.089167, 0.199868
791.681152, 1.406059, -1.867055
796.395752, 2.338354, 0.307175
801.110352, 1.719758, -1.758939
805.814941, 2.088828, 0.200947
810.529541, 1.408139, -1.867007
815.244141, 2.338072, 0.308226
819.958740, 1.721928, -1.758762
824.663330, 2.088505, 0.202030
829.377930, 1.410250, -1.866951
834.092529, 2.337763, 0.309268
838.807129, 1.724074, -1.758596
843.521729, 2.090130, 0.193471
848.226318, 1.412363, -1.866894
852.940918, 2.337452, 0.310308
857.655518, 1.726209, -1.758433
862.370117, 2.089843, 0.194568
867.074707, 1.414486, -1.866833
871.789307, 2.337136, 0.311345
876.503906, 1.728334, -1.758274
881.218506, 2.089563, 0.195672
885.933105, 1.397942, -1.867371
890.637695, 2.336814, 0.312376
895.352295, 1.730453, -1.758115
900.066895, 2.089284, 0.196776
904.781494, 1.400073, -1.867317
909.486084, 2.336489, 0.313411
914.200684, 1.732568, -1.757956
918.915283, 2.089002, 0.197879
923.629883, 1.402208, -1.867264
928.344482, 2.339218, 0.305718
933.049072, 1.734689, -1.757793
937.763672, 2.088723, 0.198981
942.478271, 1.404343, -1.867206
947.192871, 2.338891, 0.306748
951.907471, 1.719187, -1.758768
956.612061, 2.088470, 0.200094
961.326660, 1.406502, -1.867141
966.041260, 2.338558, 0.307776
970.755859, 1.721276, -1.758625
975.460449, 2.088213, 0.201208
980.175049, 1.408657, -1.867075
984.889648, 2.338212, 0.308799
989.604248, 1.723347, -1.758490
994.318848, 2.089891, 0.192669
