time,theta,omega
202.627914, 1.355176, -0.163424
207.345322, 1.227939, -1.869950
212.052734, 2.567544, 0.434558
216.770142, 2.117789, -1.631386
221.477554, 1.869941, 0.115473
226.194962, 1.066808, -1.990441
230.902374, 2.727675, 0.538154
235.619781, 2.776438, -1.333441
240.327194, 1.355134, -0.163608
245.044601, 1.227628, -1.869950
249.752014, 2.567609, 0.434427
254.469421, 2.117488, -1.631405
259.181671, 1.867182, 0.111407
263.896271, 1.080314, -1.984967
268.610870, 2.709860, 0.520309
273.315460, 2.697321, -1.369396
278.030060, 1.389357, -0.117728
282.744659, 1.231088, -1.873730
287.459259, 2.561422, 0.425796
292.163849, 2.114042, -1.636322
296.878448, 1.874662, 0.117289
301.593048, 1.086761, -1.985629
306.307648, 2.707611, 0.521374
311.022247, 2.682492, -1.369313
315.726837, 1.392121, -0.113239
320.441437, 1.234175, -1.874518
325.156036, 2.561667, 0.428326
329.870636, 2.105680, -1.634704
334.575226, 1.870695, 0.118161
339.289825, 1.090671, -1.985613
344.004425, 2.706789, 0.523148
348.719025, 2.687278, -1.369215
353.433624, 1.390268, -0.121175
358.138214, 1.239017, -1.874175
362.852814, 2.560228, 0.429829
367.567413, 2.107978, -1.635312
372.282013, 1.872881, 0.110956
376.986603, 1.095556, -1.985917
381.701202, 2.705437, 0.524676
386.415802, 2.689918, -1.370024
391.130402, 1.390868, -0.118738
395.845001, 1.224474, -1.874379
400.549591, 2.559379, 0.431688
405.264191, 2.112270, -1.634985
409.978790, 1.872187, 0.113129
414.693390, 1.080240, -1.985140
419.397980, 2.704268, 0.526278
424.112579, 2.693269, -1.370543
428.827179, 1.391063, -0.116666
433.541779, 1.228893, -1.874327
438.256378, 2.562595, 0.425816
442.960968, 2.115928, -1.634961
447.675568, 1.872076, 0.115540
452.390167, 1.084889, -1.985389
457.104767, 2.708252, 0.521047
461.809357, 2.696450, -1.371136
466.523956, 1.391350, -0.114510
471.238556, 1.233265, -1.874297
475.953156, 2.561610, 0.427596
480.667755, 2.103391, -1.635275
485.372345, 1.871808, 0.117892
490.086945, 1.089524, -1.985617
494.801544, 2.707036, 0.522635
499.516144, 2.685919, -1.369227
504.220734, 1.391645, -0.112343
508.935333, 1.237620, -1.874269
513.649902, 2.560655, 0.429418
518.364502, 2.107404, -1.635112
523.079102, 1.872514, 0.110128
527.783691, 1.094192, -1.985829
532.498291, 2.705814, 0.524250
537.212891, 2.689191, -1.369801
541.927490, 1.390703, -0.119409
546.642090, 1.223316, -1.874357
551.346680, 2.559620, 0.431178
556.061279, 2.111100, -1.635069
560.775879, 1.872363, 0.112526
565.490479, 1.078993, -1.985078
570.195068, 2.704592, 0.525838
574.909668, 2.692354, -1.370399
579.624268, 1.391014, -0.117239
584.338867, 1.227682, -1.874343
589.053467, 2.562876, 0.425336
593.758057, 2.114915, -1.634972
598.472656, 1.872113, 0.114882
603.187256, 1.083611, -1.985324
607.901855, 2.708588, 0.520613
612.606445, 2.695594, -1.370966
617.321045, 1.391264, -0.115110
622.035645, 1.232069, -1.874304
626.750244, 2.561872, 0.427103
631.464844, 2.102311, -1.635318
636.169434, 1.871907, 0.117256
640.884033, 1.088259, -1.985556
645.598633, 2.707357, 0.522193
650.313232, 2.684988, -1.369091
655.017822, 1.391603, -0.112903
659.732422, 1.236405, -1.874290
664.447021, 2.560915, 0.428902
669.161621, 2.106243, -1.635168
673.876221, 1.872639, 0.109471
678.580811, 1.092868, -1.985771
683.295410, 2.706160, 0.523793
688.010010, 2.688258, -1.369640
692.724609, 1.390628, -0.120021
697.429199, 1.240799, -1.874231
702.143799, 2.559904, 0.430668
706.858398, 2.109986, -1.635105
711.572998, 1.872456, 0.111856
716.287598, 1.077658, -1.985013
720.992188, 2.704943, 0.525380
725.706787, 2.691443, -1.370227
730.421387, 1.390925, -0.117861
735.135986, 1.226414, -1.874352
739.840576, 2.558913, 0.432446
744.555176, 2.113829, -1.634996
749.269775, 1.872180, 0.114201
753.984375, 1.082293, -1.985251
758.698975, 2.708921, 0.520147
763.403564, 2.694610, -1.370824
768.118164, 1.391221, -0.115697
772.832764, 1.230771, -1.874324
777.547363, 2.562181, 0.426591
782.251953, 2.117615, -1.634900
786.966553, 1.871924, 0.116540
791.681152, 1.086886, -1.985485
796.395752, 2.707725, 0.521731
801.110352, 2.684095, -1.368902
805.814941, 1.391496, -0.113559
810.529541, 1.235129, -1.874292
815.244141, 2.561196, 0.428371
819.958740, 2.105090, -1.635211
824.663330, 1.871657, 0.118888
829.377930, 1.091509, -1.985709
834.092529, 2.706519, 0.523324
838.807129, 2.687310, -1.369471
843.521729, 1.390548, -0.120652
848.226318, 1.239507, -1.874247
852.940918, 2.560206, 0.430147
857.655518, 2.108906, -1.635115
862.370117, 1.872494, 0.111147
867.074707, 1.096139, -1.985922
871.789307, 2.705305, 0.524914
876.503906, 2.690506, -1.370054
881.218506, 1.390836, -0.118498
885.933105, 1.225140, -1.874353
890.637695, 2.559203, 0.431921
895.352295, 2.112700, -1.635027
900.066895, 1.872260, 0.113510
904.781494, 1.080924, -1.985182
909.486084, 2.704077, 0.526500
914.200684, 2.693666, -1.370654
918.915283, 1.391143, -0.116327
923.629883, 1.229488, -1.874342
928.344482, 2.562481, 0.426089
933.049072, 2.116570, -1.634902
937.763672, 1.871951, 0.115844
942.478271, 1.085537, -1.985418
947.192871, 2.708079, 0.521276
951.907471, 2.683215, -1.368719
956.612061, 1.391397, -0.114198
961.326660, 1.233877, -1.874299
966.041260, 2.561478, 0.427858
970.755859, 2.103977, -1.635245
975.460449, 1.871742, 0.118216
980.175049, 1.090183, -1.985646
984.889648, 2.706868, 0.522868
989.604248, 2.686407, -1.369298
994.318848, 1.390456, -0.121279
