r,x,y,z,t
147.399994, 28.223911,16.580917,175.290024,49.193619
147.399994, 38.235798,14.297895,205.281830,49.574875
94.000000, -34.705437,-11.393090,147.102722,48.180473
94.000000, 20.392183,14.808992,113.298027,48.380524
94.000000, 27.866413,12.227700,127.615715,48.815140
94.000000, -22.022816,-13.543631,111.940018,49.141945
94.000000, -27.161165,-12.370094,125.648010,49.558907
174.000000, 41.909157,15.235251,241.265213,48.335098
174.000000, -45.206200,-14.740909,252.656708,48.928009
174.000000, 30.649157,18.549982,213.808456,49.092751
174.000000, -36.887230,-16.206463,224.616516,49.399323
174.000000, 32.105217,17.440012,210.083405,49.645096
120.699997, 29.219265,14.133288,154.437103,48.125824
120.699997, -28.445229,-14.291593,152.233276,48.452431
120.699997, 29.901953,13.935714,156.425537,48.797585
120.699997, -27.353853,-14.578476,149.148575,49.110306
120.699997, 32.762993,13.400888,164.819809,49.495132
40.599998, 16.995796,8.815593,56.192547,48.361679
40.599998, -16.389217,-8.918487,54.800518,48.954391
40.599998, 17.767807,8.687191,57.963223,49.603836
67.300003, -20.190550,-11.226601,85.069588,48.156075
67.300003, 26.513506,10.203621,101.249802,48.746506
67.300003, -17.343307,-11.951309,77.669823,49.483032
147.500000, 35.153416,14.888943,195.493256,48.328850
147.500000, -28.226986,-16.586203,175.391571,48.580673
147.500000, -38.225998,-14.301413,205.340256,48.961533
147.500000, 26.835833,17.240973,173.457382,49.173286
147.500000, 35.427822,14.860949,196.355362,49.525284
94.099998, 27.049583,12.391400,125.426903,48.215881
94.099998, -23.112959,-13.260063,114.873260,48.559448
94.099998, -31.446451,-11.616615,137.800369,49.053375
94.099998, 19.737740,14.514844,107.503891,49.305595
94.099998, 23.351376,13.174479,115.207993,49.685463
174.100006, 29.918859,18.452305,207.406708,48.185135
174.100006, 46.678158,14.541474,257.970734,48.609436
174.100006, -31.310574,-18.613054,218.135590,48.765152
174.100006, 34.012516,16.930216,215.568878,49.047424
174.100006, -36.218605,-16.430185,222.590240,49.336937
174.100006, 32.830360,17.245144,212.225159,49.591339
120.800003, -23.456362,-15.983334,140.431778,48.203186
120.800003, -29.247004,-14.073617,154.399475,48.561234
120.800003, 28.555389,14.236823,152.650696,48.888634
120.800003, -29.698254,-13.991201,155.921768,49.230812
120.800003, 27.684076,14.455877,150.180542,49.547600
40.700001, -13.101720,-9.589496,47.096638,48.776459
40.700001, -13.914397,-9.401819,49.076153,49.317696
67.400002, 18.550631,11.662109,81.088226,48.021980
67.400002, 21.967291,10.899578,89.671333,48.495476
67.400002, -20.971268,-11.069849,87.207108,48.937134
67.400002, 23.146484,10.684453,92.696846,49.425209
94.199997, 27.497028,12.304125,126.812820,48.046974
94.199997, -22.516178,-13.446123,113.378822,48.381020
94.199997, -28.583153,-12.142034,129.772507,48.818115
94.199997, 21.316969,13.795659,110.314156,49.130936
94.199997, 25.502785,12.706742,121.230598,49.527565
147.600006, 35.168518,14.829879,195.651718,48.314568
147.600006, -28.232370,-16.614235,175.491043,48.566093
147.600006, -38.208069,-14.265049,205.386536,48.946556
147.600006, 26.852427,17.254137,173.564560,49.158508
147.600006, 35.423077,14.761964,196.466843,49.510406
174.199997, -33.724915,-16.983122,214.968338,48.114021
174.199997, 36.680969,16.289785,224.166580,48.408295
174.199997, -32.347164,-17.440008,210.920105,48.656647
174.199997, 40.301800,15.626621,235.997742,48.989700
174.199997, -30.083906,-18.254910,206.075562,49.196495
174.199997, -42.058723,-15.476602,241.832031,49.556427
40.799999, -13.605977,-9.481600,48.406239,48.085953
40.799999, -14.656380,-9.262394,50.914371,48.639191
120.900002, 29.794279,14.006282,156.274338,48.182060
120.900002, -27.578362,-14.517640,149.958847,48.497162
120.900002, 32.146549,13.600867,163.134308,48.871971
120.900002, -31.269184,-13.639671,160.492081,49.522011
67.500000, 20.751514,11.125993,86.665718,48.368225
67.500000, -23.939367,-10.537337,94.812004,48.875542
67.500000, 18.013313,11.824801,79.811661,49.262650
67.500000, 20.816809,11.126744,86.824532,49.717796
94.300003, 23.451797,13.184227,115.943329,48.146057
94.300003, -35.573853,-11.189042,149.994156,48.762375
94.300003, 20.825006,14.841974,115.937920,48.953102
94.300003, 31.600939,11.664187,138.394531,49.458832
94.300003, -19.755468,-14.546482,107.832405,49.708473
147.699997, 38.200047,14.325653,205.430954,48.337181
147.699997, -26.864391,-17.231779,173.671738,48.549431
147.699997, -35.428669,-14.750690,196.578171,48.901131
147.699997, 28.041077,16.670870,175.131363,49.149086
147.699997, 37.432392,14.389289,202.976715,49.520027
40.900002, -19.787556,-8.450549,62.826004,48.145760
40.900002, 12.631748,9.743837,46.141861,48.637207
40.900002, 14.183049,9.373807,49.864349,49.711845
174.300003, 40.873478,15.440359,238.027252,48.312881
174.300003, -29.990967,-18.381414,206.406647,48.513725
174.300003, -42.480030,-15.204823,243.432983,48.879013
174.300003, 29.968531,18.492077,208.153275,49.064880
174.300003, -47.964996,-14.760859,262.678375,49.509315
174.300003, 31.962460,18.469656,222.292374,49.658585
67.599998, -27.281118,-10.140405,103.509155,48.588707
67.599998, 15.628612,12.778425,74.871948,48.876434
67.599998, 17.401033,11.963358,78.058479,49.300041
121.000000, -31.436579,-13.654506,161.061096,48.343628
121.000000, 25.564388,15.101456,144.545288,48.630463
121.000000, 33.556751,13.378116,167.383575,49.032646
121.000000, -23.923143,-15.667506,140.770477,49.285164
121.000000, -29.462431,-14.055694,155.199448,49.643211
94.400002, -24.595392,-12.886844,118.910492,48.262100
94.400002, 28.074432,12.209594,128.580368,48.681145
94.400002, -21.888788,-13.651945,111.920609,49.003883
94.400002, -26.753809,-12.466169,124.863495,49.414101
41.000000, -19.069912,-8.559951,61.254677,48.502419
41.000000, 13.517984,9.543738,48.377922,49.012711
41.000000, 14.537029,9.314574,50.779675,49.561783
174.399994, 31.796322,17.624762,209.594452,48.195747
174.399994, -42.787399,-15.214938,244.596176,48.558556
174.399994, 30.015326,18.556366,208.756958,48.741745
174.399994, -44.953026,-14.814749,252.132111,49.138672
174.399994, 30.590780,18.667015,213.522934,49.305199
174.399994, -37.577229,-16.184227,227.173798,49.617226
147.800003, 35.216347,14.852247,195.971619,48.033287
147.800003, -28.227734,-16.567278,175.688690,48.284416
147.800003, -38.181656,-14.301672,205.471573,48.663887
147.800003, 26.883963,17.263815,173.778824,48.876335
147.800003, 35.449978,14.872562,196.689728,49.227837
147.800003, -28.048426,-16.624907,175.260117,49.475891
121.099998, -27.067068,-14.643327,148.716095,48.152306
121.099998, 34.061485,13.225834,169.057297,48.555878
121.099998, -23.718792,-15.796470,140.618088,48.800064
121.099998, -29.233385,-14.117973,154.605515,49.156326
121.099998, 28.686764,14.225746,153.286636,49.484520
67.699997, -23.148096,-10.725106,92.925674,48.070778
67.699997, 19.163584,11.524363,82.884209,48.477821
67.699997, 23.538687,10.636190,93.935654,48.980179
67.699997, -18.611958,-11.675255,81.486702,49.377304
41.099998, 15.816325,9.078857,53.854828,48.321907
41.099998, 20.538738,8.402955,64.709167,49.139069
94.500000, -19.848648,-14.483008,107.841103,48.124336
94.500000, -23.362240,-13.207803,115.565804,48.502815
94.500000, -32.359104,-11.660960,140.712769,49.015289
94.500000, 23.947645,13.066229,117.189796,49.635376
147.899994, -35.230251,-14.769609,196.135162,48.275291
147.899994, 28.227917,16.567606,175.785568,48.526123
147.899994, 38.164364,14.309996,205.504532,48.905098
147.899994, -26.898453,-17.254349,173.884796,49.117844
147.899994, -35.455490,-14.871357,196.797256,49.469147
147.899994, 28.073662,16.694954,175.391281,49.717102
174.500000, -44.155609,-14.964934,249.427139,48.270134
174.500000, 30.331497,18.637403,211.651642,48.442413
174.500000, -39.605663,-15.780739,233.934479,48.773979
174.500000, 30.352419,18.156002,206.548264,48.988411
174.500000, 42.344936,15.238201,243.147736,49.350624
174.500000, -29.979593,-18.512766,208.164062,49.537781
67.800003, -17.942484,-11.835395,79.641113,48.343628
67.800003, -20.512903,-11.234104,86.281837,48.792625
67.800003, 25.131866,10.399368,98.112900,49.330887
67.800003, -16.821236,-12.224599,77.090912,49.688637
121.199997, 28.071535,14.374622,151.628845,48.125923
121.199997, -30.917473,-13.747060,159.821716,48.482880
121.199997, 26.142498,14.914784,146.268448,48.778046
121.199997, 36.792580,12.806222,177.505096,49.232597
121.199997, -23.593773,-16.186735,143.151703,49.437904
41.200001, 17.739809,8.780549,58.358913,48.873955
41.200001, -15.450763,-9.171232,53.088184,49.428581
94.599998, -33.829456,-11.487442,145.072021,48.333313
94.599998, 20.117064,14.823738,111.694435,48.545265
94.599998, 25.876150,12.652537,122.607422,48.950127
94.599998, -25.194111,-12.815982,120.863190,49.322060
94.599998, 26.493555,12.530251,124.401672,49.714027
174.600006, 30.063835,18.333921,206.651474,48.165894
174.600006, 42.327457,15.309507,243.158142,48.528404
174.600006, -29.986555,-18.499508,208.238632,48.715858
174.600006, -49.894390,-14.634328,269.988617,49.195305
174.600006, 33.108723,18.503645,229.095047,49.335846
174.600006, -29.302917,-18.353697,202.078720,49.578346
148.000000, 38.140808,14.304967,205.521973,48.303558
148.000000, -26.909044,-17.209858,173.988632,48.516701
148.000000, -35.443840,-14.743260,196.898148,48.867805
148.000000, 28.084011,16.650417,175.526413,49.115761
148.000000, 37.551769,14.366385,203.633591,49.487297
148.000000, -27.024647,-17.117067,173.786545,49.707581
67.900002, 24.790411,10.481873,97.301743,48.004326
67.900002, -19.333744,-11.508646,83.331657,48.806908
67.900002, -23.877056,-10.603473,94.966255,49.315216
67.900002, 18.241421,11.789018,80.718689,49.704407
121.300003, 37.885624,12.687766,181.002747,48.014641
121.300003, -23.892996,-16.229979,145.543610,48.207748
121.300003, -33.941319,-13.220349,168.855148,48.620644
121.300003, -28.572886,-14.273946,153.133133,49.549683
41.299999, -17.982105,-8.745289,59.000435,48.596939
41.299999, 15.123480,9.238112,52.408077,49.141548
94.699997, -32.286453,-11.595114,140.715897,48.396294
94.699997, 19.808952,14.660135,108.980087,48.633339
94.699997, 23.912889,13.067783,117.271080,49.016876
94.699997, -31.162731,-11.716677,137.512192,49.497116
148.100006, 38.084194,14.489532,205.369583,48.015930
148.100006, -26.939507,-17.243214,174.065796,48.230064
148.100006, -35.430901,-14.830307,196.915939,48.580673
148.100006, 28.123810,16.663977,175.708786,48.829025
148.100006, 37.691105,14.516374,204.113174,49.201653
148.100006, -27.013117,-17.165907,173.927109,49.420547
174.699997, -47.159138,-14.530675,260.232330,48.050743
174.699997, 31.576626,18.556070,220.162811,48.204079
174.699997, -33.320171,-17.120867,213.967255,48.479904
174.699997, 37.937302,16.108313,228.647964,48.785782
174.699997, 47.574474,14.576955,261.701996,49.452087
174.699997, -31.793566,-18.610756,221.453094,49.603241
68.000000, -15.880871,-12.638436,75.291130,48.120071
68.000000, -25.222637,-10.409307,98.508820,49.522209
121.400002, 29.296339,14.072633,155.071106,48.001747
121.400002, -28.666246,-14.291618,153.472351,48.328651
121.400002, 29.704523,14.067758,156.447327,48.669044
121.400002, -27.868111,-14.469592,151.213943,48.986427
121.400002, 31.529142,13.632448,161.794724,49.351120
121.400002, -25.515724,-15.119015,144.783249,49.636269
41.400002, 15.462337,9.179937,53.277882,48.020393
41.400002, 18.397249,8.714072,60.021458,48.686302
41.400002, -14.584998,-9.367897,51.213913,49.216232
94.800003, 24.939150,12.875234,120.178787,48.030411
94.800003, -27.330822,-12.386228,126.867325,48.434776
94.800003, 22.920233,13.380613,114.953438,48.772789
94.800003, 30.013294,11.944296,134.310944,49.232002
94.800003, -20.359213,-14.240234,108.670509,49.516060
174.800003, -47.664059,-14.831940,262.040009,48.027832
174.800003, 31.827358,18.519840,221.763809,48.178787
174.800003, -32.549622,-17.352039,211.691711,48.448364
174.800003, 40.306038,15.635482,236.557983,48.779732
174.800003, -30.161863,-18.246220,206.808380,48.986824
174.800003, -42.224117,-15.425294,242.954956,49.347252
174.800003, 30.006823,18.554672,208.298630,49.535797
148.199997, 28.234262,16.655066,176.060577,48.202492
148.199997, 38.084869,14.326248,205.518585,48.579781
148.199997, -26.948195,-17.232466,174.192841,48.793716
148.199997, -35.462612,-14.869554,197.090164,49.144325
148.199997, 28.125385,16.688057,175.801590,49.392380
68.099998, 27.654840,10.072227,104.948509,48.569069
68.099998, -15.690344,-12.872679,75.732826,48.846085
68.099998, -19.893082,-11.381483,84.943657,49.709961
121.500000, -34.289169,-13.167410,170.088287,48.261703
121.500000, 23.720095,15.865257,141.091446,48.502716
121.500000, 29.299749,14.169581,155.127289,48.858681
121.500000, -28.709511,-14.233250,153.706299,49.186081
121.500000, 29.632113,14.058430,156.338638,49.525284
41.500000, 14.672883,9.352828,51.473648,48.449852
41.500000, 16.429178,9.032895,55.573341,49.038002
41.500000, -18.408388,-8.721650,60.129128,49.699547
94.900002, 21.431246,13.843031,111.195412,48.140900
94.900002, 25.676569,12.685421,122.318863,48.537132
94.900002, -25.685556,-12.700583,122.465981,48.915215
94.900002, 25.589031,12.764449,122.183289,49.291908
94.900002, -25.787745,-12.688628,122.738663,49.671776
174.899994, 30.032387,18.576654,208.710251,48.090912
174.899994, -50.185234,-14.364812,271.408142,48.575417
174.899994, 33.304638,18.394222,230.448441,48.714767
174.899994, -29.004681,-18.561481,201.536972,48.953499
174.899994, -36.093163,-16.367130,222.518295,49.259773
174.899994, 33.353802,17.163147,214.494659,49.517746
148.300003, 38.041965,14.329688,205.471802,48.241867
148.300003, -26.967184,-17.217293,174.290085,48.456398
148.300003, -35.459480,-14.866148,197.171509,48.806709
148.300003, 28.146780,16.685930,175.947906,49.054863
148.300003, 37.734489,14.519510,204.430817,49.427490
148.300003, -27.033817,-17.188711,174.178268,49.645988
121.599998, 34.134701,13.235308,169.693115,48.029617
121.599998, -23.786310,-15.813990,141.245010,48.273308
121.599998, -29.349810,-14.120042,155.380753,48.629372
121.599998, 28.642647,14.264935,153.598984,48.955582
121.599998, -29.809050,-14.056297,156.924728,49.296669
121.599998, 27.771170,14.538063,151.102631,49.612167
68.199997, 16.713184,12.314826,77.159988,48.327164
68.199997, 21.763824,10.989470,89.821541,49.219704
68.199997, -21.743052,-11.008499,89.805763,49.670982
41.599998, -15.284723,-9.245584,52.991070,48.128502
41.599998, -17.791151,-8.826796,58.787762,48.763168
41.599998, 15.580135,9.193783,53.696819,49.316307
95.000000, -26.364061,-12.563422,124.306389,48.394905
95.000000, 24.469475,12.997947,119.256599,48.754738
95.000000, -28.603781,-12.218639,130.540359,49.180428
95.000000, 21.511902,13.835925,111.478088,49.493546
175.000000, 32.367764,17.455315,211.724777,48.173630
175.000000, -40.543224,-15.554666,237.546494,48.507774
175.000000, 30.140818,18.358456,207.098221,48.712387
175.000000, 42.351597,15.225686,243.631210,49.074303
175.000000, -30.029572,-18.502388,208.721954,49.261658
148.399994, 38.004105,14.470879,205.393600,48.221733
148.399994, -26.996498,-17.259699,174.385452,48.436958
148.399994, -35.445919,-14.788897,197.247757,48.787071
148.399994, 28.167208,16.667248,176.097321,49.035324
148.399994, 37.791653,14.391049,204.746872,49.408546
148.399994, -27.027422,-17.164738,174.316040,49.626251
121.699997, 32.841610,13.464116,165.869995,48.547249
121.699997, -24.489109,-15.529672,142.540848,48.811768
121.699997, -30.434933,-13.890676,158.687683,49.176460
121.699997, 26.979412,14.762673,148.978027,49.481148
68.300003, -16.145782,-12.550920,75.998917,48.206558
68.300003, -17.794071,-11.943772,79.630089,48.628380
41.700001, -16.437477,-9.035879,55.769890,48.251488
41.700001, 18.522936,8.724353,60.553822,48.914520
41.700001, -14.551636,-9.416459,51.358406,49.440186
95.099998, 28.371002,12.214133,130.002380,48.177299
95.099998, -26.397787,-12.585840,124.470604,48.898254
95.099998, -28.697292,-12.202614,130.890030,49.684471
175.100006, 36.153828,16.535898,223.268143,48.222626
175.100006, -33.124252,-17.167311,214.012329,48.478615
175.100006, 38.306694,15.967779,230.238617,48.787964
175.100006, -31.125614,-17.850641,208.597626,49.017174
175.100006, -47.111439,-14.676067,260.390259,49.441772
175.100006, 31.567963,18.549580,220.349136,49.595604
148.500000, 35.455692,14.911808,197.323029,48.205269
148.500000, -28.189816,-16.662910,176.247101,48.453720
148.500000, -37.879051,-14.536158,205.064865,48.827438
148.500000, 27.033661,17.229155,174.456894,49.044350
148.500000, 35.420918,14.800999,197.255478,49.393867
148.500000, -28.209763,-16.679461,176.287048,49.642517
121.800003, -31.501589,-13.672369,162.060211,48.063538
121.800003, 25.646629,15.119251,145.477051,48.349480
121.800003, 33.694653,13.351602,168.522125,48.750870
121.800003, -24.011038,-15.749679,141.719955,49.001801
121.800003, -29.606796,-14.086435,156.309402,49.359253
121.800003, 28.265970,14.371342,152.701340,49.680206
68.400002, 26.095989,10.370874,101.087639,48.416130
68.400002, -17.918242,-11.905388,80.045616,49.169518
68.400002, -20.419876,-11.316774,86.525642,49.614250
41.799999, -16.350487,-9.079500,55.635403,48.002243
41.799999, 18.951941,8.668414,61.624249,48.686005
95.199997, 25.716503,12.695621,122.684120,48.002640
95.199997, -25.730658,-12.747391,122.828728,48.380028
95.199997, 25.621063,12.727904,122.550873,48.756226
95.199997, -25.831387,-12.737291,123.097038,49.135300
95.199997, 25.431816,12.764555,122.039474,49.508720
175.199997, 42.995895,15.234158,245.999146,48.202492
175.199997, -30.131315,-18.629253,209.963455,48.384392
175.199997, 44.082706,15.182815,249.754089,48.766739
175.199997, -30.357100,-18.599447,212.150452,48.940109
175.199997, 40.060162,15.681763,236.092880,49.274948
175.199997, -30.294525,-18.257198,207.305939,49.484818
148.600006, -35.466110,-14.897987,197.450439,48.144867
148.600006, 28.199591,16.660816,176.367142,48.393219
148.600006, 37.901722,14.535423,205.227814,48.766937
148.600006, -27.042917,-17.231710,174.584061,48.983650
148.600006, -35.456734,-14.874505,197.429886,49.333168
148.600006, 28.201733,16.639317,176.378906,49.581619
121.900002, -26.391417,-14.882309,147.563843,48.118980
121.900002, -39.550098,-12.501256,186.822296,48.629967
121.900002, -33.655308,-13.393622,168.514496,49.211967
121.900002, 24.037113,15.725605,141.861282,49.463593
68.500000, 18.440117,11.816620,81.693619,48.190491
68.500000, 21.602882,11.062303,89.648628,48.651489
68.500000, -22.245003,-10.940581,91.325623,49.111000
68.500000, 20.938295,11.229076,88.000580,49.544724
41.900002, -17.318502,-8.927818,57.941120,48.398872
41.900002, -18.331749,-8.783897,60.268211,49.626747
95.300003, 28.804909,12.168476,131.375427,48.170158
95.300003, -21.390377,-13.890929,111.444305,48.479507
95.300003, -25.574034,-12.765525,122.357948,48.873260
95.300003, 26.068089,12.644814,123.850800,49.255508
95.300003, -25.026621,-12.897923,121.010887,49.622383
175.300003, 30.270315,18.577995,211.463211,48.134949
175.300003, -41.207748,-15.625218,239.991669,48.481789
175.300003, 30.074177,18.428213,207.778946,48.680153
175.300003, 43.121471,15.135512,246.549057,49.050797
175.300003, -30.162802,-18.641878,210.309555,49.231606
175.300003, 43.450981,15.202064,247.677841,49.605522
148.699997, -35.475487,-14.834787,197.592606,48.124832
148.699997, 28.206665,16.666855,176.478287,48.372986
148.699997, 37.895535,14.403877,205.344055,48.746605
148.699997, -27.056589,-17.243351,174.706879,48.963219
