x,y
10.875015, -1.263375
10.912516, -1.206829
10.950016, -1.148865
10.987516, -1.089520
11.025017, -1.028839
11.062517, -0.966873
11.100018, -0.903675
11.137518, -0.839307
11.175018, -0.773832
11.212519, -0.707322
11.250019, -0.639853
11.287519, -0.571503
11.325020, -0.502356
11.362520, -0.432500
11.400021, -0.362027
11.437521, -0.291028
11.475021, -0.219602
11.512522, -0.147846
11.550022, -0.075858
11.587523, -0.003737
11.625023, 0.068417
11.662523, 0.140507
11.700024, 0.212436
11.737524, 0.284111
11.775024, 0.355438
11.812525, 0.426332
11.850025, 0.496706
11.887526, 0.566481
11.925026, 0.635582
11.962526, 0.703938
12.000027, 0.771485
12.037527, 0.838162
12.075027, 0.903915
12.112528, 0.968695
12.150028, 1.032461
12.187529, 1.095174
12.225029, 1.156802
12.262529, 1.217319
12.300030, 1.276703
12.337530, 1.334937
12.375031, 1.392010
12.412531, 1.447913
12.450031, 1.502643
12.487532, 1.556199
12.525032, 1.608586
12.562532, 1.659810
12.600033, 1.709880
12.637533, 1.758809
12.675034, 1.806610
12.712534, 1.853299
12.750034, 1.898895
12.787535, 1.943416
12.825035, 1.986883
12.862535, 2.029317
12.900036, 2.070740
12.937536, 2.111174
12.975037, 2.150643
13.012537, 2.189170
13.050037, 2.226777
13.087538, 2.263488
13.125038, 2.299324
13.162539, 2.334309
13.200039, 2.368465
13.237539, 2.401812
13.275040, 2.434373
13.312540, 2.466165
13.350040, 2.497210
13.387541, 2.527526
13.425041, 2.557130
13.462542, 2.586038
13.500042, 2.614269
13.537542, 2.641836
13.575043, 2.668754
13.612543, 2.695038
13.650043, 2.720697
13.687544, 2.745745
13.725044, 2.770193
13.762545, 2.794049
13.800045, 2.817323
13.837545, 2.840024
13.875046, 2.862157
13.912546, 2.883729
13.950047, 2.904746
13.987547, 2.925212
14.025047, 2.945131
14.062548, 2.964506
14.100048, 2.983339
14.137548, 3.001632
14.175049, 3.019386
14.212549, 3.036600
14.250050, 3.053274
14.287550, 3.069406
14.325050, 3.084996
14.362551, 3.100039
14.400051, 3.114534
14.437551, 3.128476
14.475052, -3.141324
14.512552, -3.128500
14.550053, -3.116244
14.587553, -3.104559
14.625053, -3.093454
14.662554, -3.082934
14.700054, -3.073006
14.737555, -3.063679
14.775055, -3.054959
14.812555, -3.046856
14.850056, -3.039377
14.887556, -3.032532
14.925056, -3.026331
14.962557, -3.020782
15.000057, -3.015895
15.037558, -3.011681
15.075058, -3.008150
15.112558, -3.005314
15.150059, -3.003182
15.187559, -3.001766
15.225060, -3.001079
15.262560, -3.001130
15.300060, -3.001933
15.337561, -3.003500
15.375061, -3.005842
15.412561, -3.008974
15.450062, -3.012906
15.487562, -3.017654
15.525063, -3.023229
15.562563, -3.029646
15.600063, -3.036918
15.637564, -3.045059
15.675064, -3.054084
15.712564, -3.064006
15.750065, -3.074842
15.787565, -3.086605
15.825066, -3.099311
15.862566, -3.112976
15.900066, -3.127615
15.937567, 3.139940
15.975067, 3.123303
16.012568, 3.105643
16.050068, 3.086942
16.087568, 3.067183
16.125069, 3.046348
16.162569, 3.024420
16.200069, 3.001381
16.237570, 2.977211
16.275070, 2.951892
16.312571, 2.925404
16.350071, 2.897731
16.387571, 2.868850
16.425072, 2.838744
16.462572, 2.807392
16.500072, 2.774774
16.537573, 2.740872
16.575073, 2.705665
16.612574, 2.669135
16.650074, 2.631262
16.687574, 2.592026
16.725075, 2.551412
16.762575, 2.509401
16.800076, 2.465977
16.837576, 2.421125
16.875076, 2.374830
16.912577, 2.327080
16.950077, 2.277865
16.987577, 2.227175
