x,y,t
-0.207121,0.736263,3.892900
-0.209066,0.735796,3.893900
-0.211011,0.735330,3.894900
-0.212956,0.734863,3.895900
-0.214900,0.734397,3.896900
-0.216845,0.733931,3.897900
-0.218790,0.733464,3.898900
-0.220735,0.732998,3.899900
-0.222680,0.732531,3.900900
-0.224625,0.732065,3.901900
-0.226570,0.731599,3.902900
-0.228514,0.731132,3.903899
-0.230459,0.730666,3.904899
-0.232404,0.730199,3.905899
-0.234349,0.729733,3.906899
-0.236294,0.729267,3.907899
-0.238239,0.728800,3.908899
-0.240184,0.728334,3.909899
-0.242128,0.727867,3.910899
-0.244073,0.727401,3.911899
-0.246018,0.726934,3.912899
-0.247963,0.726468,3.913899
-0.249908,0.726002,3.914899
-0.251853,0.725535,3.915899
-0.253798,0.725069,3.916898
-0.255742,0.724602,3.917898
-0.257687,0.724136,3.918898
-0.259632,0.723670,3.919898
-0.261577,0.723203,3.920898
-0.263522,0.722737,3.921898
-0.265467,0.722270,3.922898
-0.267412,0.721804,3.923898
-0.269356,0.721338,3.924898
-0.271301,0.720871,3.925898
-0.273246,0.720405,3.926898
-0.275191,0.719938,3.927898
-0.277136,0.719472,3.928898
-0.279081,0.719006,3.929898
-0.281026,0.718539,3.930897
-0.282971,0.718073,3.931897
-0.284915,0.717606,3.932897
-0.286860,0.717140,3.933897
-0.288805,0.716674,3.934897
-0.290750,0.716207,3.935897
-0.292695,0.715741,3.936897
-0.294640,0.715274,3.937897
-0.296585,0.714808,3.938897
-0.298530,0.714342,3.939897
-0.300474,0.713875,3.940897
-0.302419,0.713409,3.941897
-0.304364,0.712942,3.942897
-0.306309,0.712476,3.943897
-0.308254,0.712009,3.944896
-0.310199,0.711543,3.945896
-0.312144,0.711077,3.946896
-0.314088,0.710610,3.947896
-0.316033,0.710144,3.948896
-0.317978,0.709677,3.949896
-0.319923,0.709211,3.950896
-0.321868,0.708745,3.951896
-0.323813,0.708278,3.952896
-0.325758,0.707812,3.953896
-0.327703,0.707345,3.954896
-0.329647,0.706879,3.955896
-0.331592,0.706413,3.956896
-0.333537,0.705946,3.957896
-0.335482,0.705480,3.958895
-0.337427,0.705013,3.959895
-0.339372,0.704547,3.960895
-0.341317,0.704081,3.961895
-0.343262,0.703614,3.962895
-0.345206,0.703148,3.963895
-0.347151,0.702681,3.964895
-0.349096,0.702215,3.965895
-0.351041,0.701749,3.966895
-0.352986,0.701282,3.967895
-0.354931,0.700816,3.968895
-0.356876,0.700349,3.969895
-0.358820,0.699883,3.970895
-0.360765,0.699417,3.971895
-0.362710,0.698950,3.972894
-0.364655,0.698484,3.973894
-0.366600,0.698017,3.974894
-0.368545,0.697551,3.975894
-0.370490,0.697084,3.976894
-0.372435,0.696618,3.977894
-0.374379,0.696152,3.978894
-0.376324,0.695685,3.979894
-0.378269,0.695219,3.980894
-0.380214,0.694752,3.981894
-0.382159,0.694286,3.982894
-0.384104,0.693820,3.983894
-0.386049,0.693353,3.984894
-0.387994,0.692887,3.985893
-0.389938,0.692420,3.986893
-0.391883,0.691954,3.987893
-0.393828,0.691488,3.988893
-0.395773,0.691021,3.989893
-0.397718,0.690555,3.990893
-0.399663,0.690088,3.991893
-0.401608,0.689622,3.992893
-0.403552,0.689156,3.993893
-0.405497,0.688689,3.994893
-0.407442,0.688223,3.995893
-0.409387,0.687756,3.996893
-0.411332,0.687290,3.997893
-0.413277,0.686824,3.998893
-0.415222,0.686357,3.999892
-0.417167,0.685891,4.000893
-0.419111,0.685424,4.001893
-0.421056,0.684958,4.002892
-0.423001,0.684492,4.003892
-0.424946,0.684025,4.004892
-0.426891,0.683559,4.005892
-0.428836,0.683092,4.006892
-0.430781,0.682626,4.007892
-0.432726,0.682159,4.008892
-0.434670,0.681693,4.009892
-0.436615,0.681227,4.010892
-0.438560,0.680760,4.011892
-0.440505,0.680294,4.012892
-0.442450,0.679827,4.013892
-0.444395,0.679361,4.014892
-0.446340,0.678895,4.015892
-0.448284,0.678428,4.016891
-0.450229,0.677962,4.017891
-0.452174,0.677495,4.018891
-0.454119,0.677029,4.019891
-0.456064,0.676563,4.020891
-0.458009,0.676096,4.021891
-0.459954,0.675630,4.022891
-0.461899,0.675163,4.023891
-0.463843,0.674697,4.024891
-0.465788,0.674231,4.025891
-0.467733,0.673764,4.026891
-0.469678,0.673298,4.027891
-0.471623,0.672831,4.028891
-0.473568,0.672365,4.029891
-0.475513,0.671899,4.030890
-0.477458,0.671432,4.031890
-0.479402,0.670966,4.032890
-0.481347,0.670499,4.033890
-0.483292,0.670033,4.034890
-0.485237,0.669567,4.035890
-0.487182,0.669100,4.036890
-0.489127,0.668634,4.037890
-0.491072,0.668167,4.038890
-0.493016,0.667701,4.039890
-0.494961,0.667234,4.040890
-0.496906,0.666768,4.041890
-0.498851,0.666302,4.042890
-0.500796,0.665835,4.043890
-0.502741,0.665369,4.044889
-0.504686,0.664902,4.045889
-0.506630,0.664436,4.046889
-0.508575,0.663970,4.047889
-0.510520,0.663503,4.048889
-0.512465,0.663037,4.049889
-0.514410,0.662570,4.050889
-0.516355,0.662104,4.051889
-0.518300,0.661638,4.052889
-0.520244,0.661171,4.053889
-0.522189,0.660705,4.054889
-0.524134,0.660238,4.055889
-0.526079,0.659772,4.056889
-0.528024,0.659306,4.057889
-0.529969,0.658839,4.058888
-0.531913,0.658373,4.059888
-0.533858,0.657906,4.060888
-0.535803,0.657440,4.061888
-0.537748,0.656974,4.062888
-0.539693,0.656507,4.063888
-0.541638,0.656041,4.064888
-0.543582,0.655574,4.065888
-0.545527,0.655108,4.066888
-0.547472,0.654642,4.067888
-0.549417,0.654175,4.068888
-0.551362,0.653709,4.069888
-0.553307,0.653242,4.070888
-0.555251,0.652776,4.071887
-0.557196,0.652309,4.072887
-0.559141,0.651843,4.073887
-0.561086,0.651377,4.074887
-0.563031,0.650910,4.075887
-0.564976,0.650444,4.076887
-0.566921,0.649977,4.077887
-0.568865,0.649511,4.078887
-0.570810,0.649045,4.079887
-0.572755,0.648578,4.080887
-0.574700,0.648112,4.081887
-0.576645,0.647645,4.082887
-0.578590,0.647179,4.083887
-0.580534,0.646713,4.084887
-0.582479,0.646246,4.085886
-0.584424,0.645780,4.086886
-0.586369,0.645313,4.087886
-0.588314,0.644847,4.088886
-0.590259,0.644381,4.089886
-0.592203,0.643914,4.090886
-0.594148,0.643448,4.091886
-0.596093,0.642981,4.092886
-0.598038,0.642515,4.093886
-0.599983,0.642049,4.094886
-0.601928,0.641582,4.095886
-0.603872,0.641116,4.096886
-0.605817,0.640649,4.097886
-0.607762,0.640183,4.098886
-0.609707,0.639717,4.099885
-0.611652,0.639250,4.100885
-0.613597,0.638784,4.101885
-0.615542,0.638317,4.102885
-0.617486,0.637851,4.103885
-0.619431,0.637384,4.104885
-0.621376,0.636918,4.105885
-0.623321,0.636452,4.106885
-0.625266,0.635985,4.107885
-0.627211,0.635519,4.108885
-0.629155,0.635052,4.109885
-0.631100,0.634586,4.110885
-0.633045,0.634120,4.111885
-0.634990,0.633653,4.112885
-0.636935,0.633187,4.113884
-0.638880,0.632720,4.114884
-0.640824,0.632254,4.115884
-0.642769,0.631788,4.116884
-0.644714,0.631321,4.117884
-0.646659,0.630855,4.118884
-0.648604,0.630388,4.119884
-0.650549,0.629922,4.120884
-0.652493,0.629456,4.121884
-0.654438,0.628989,4.122884
-0.656383,0.628523,4.123884
-0.658328,0.628056,4.124884
-0.660273,0.627590,4.125884
-0.662218,0.627124,4.126884
-0.664163,0.626657,4.127883
-0.666107,0.626191,4.128883
-0.668052,0.625724,4.129883
-0.669997,0.625258,4.130883
-0.671942,0.624792,4.131883
-0.673887,0.624325,4.132883
-0.675832,0.623859,4.133883
-0.677776,0.623392,4.134883
-0.679721,0.622926,4.135883
-0.681666,0.622459,4.136883
-0.683611,0.621993,4.137883
-0.685556,0.621527,4.138883
-0.687501,0.621060,4.139883
-0.689445,0.620594,4.140882
-0.691390,0.620127,4.141882
-0.693335,0.619661,4.142882
-0.695280,0.619195,4.143882
-0.697225,0.618728,4.144882
-0.699170,0.618262,4.145882
-0.701114,0.617795,4.146882
-0.703059,0.617329,4.147882
-0.705004,0.616863,4.148882
-0.706949,0.616396,4.149882
-0.708894,0.615930,4.150882
-0.710839,0.615463,4.151882
-0.712784,0.614997,4.152882
-0.714728,0.614531,4.153882
-0.716673,0.614064,4.154881
-0.718618,0.613598,4.155881
-0.720563,0.613131,4.156881
-0.722508,0.612665,4.157881
-0.724453,0.612199,4.158881
-0.726397,0.611732,4.159881
-0.728342,0.611266,4.160881
-0.730287,0.610799,4.161881
-0.732232,0.610333,4.162881
-0.734177,0.609866,4.163881
-0.736122,0.609400,4.164881
-0.738066,0.608934,4.165881
-0.740011,0.608467,4.166881
-0.741956,0.608001,4.167881
-0.743901,0.607534,4.168880
-0.745846,0.607068,4.169880
-0.747791,0.606602,4.170880
-0.749735,0.606135,4.171880
-0.751680,0.605669,4.172880
